end_id	source_record_id	source_end_id	author_tep_id	source_id	species	sample_id	assay	evidence_class	published_reference_accession	reference_name	biological_coordinate_1based	bed_start_0based	bed_end_0based	strand	category	associated_gene	pmid	doi	source_table	coordinate_interpretation
BTED_BATTER_S1_019_BATTER_S1_019_PUBLISHED_TEP_NC_000911-1_minus_96258_r000016	TEP-015	BATTER_S1_019_2021_TERMSEQ_NC_000911_1_R_000015	TEP-015	BATTER_S1_019	Synechocystis sp. PCC 6803	BATTER_S1_019_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	NC_000911	NC_000911.1	96258	96257	96258	-	P	SGL_RS02295	34874777	10.1128/mSystems.00943-21	Table S5	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_019_BATTER_S1_019_PUBLISHED_TEP_NC_000911-1_plus_99380_r000017	TEP-016	BATTER_S1_019_2021_TERMSEQ_NC_000911_1_F_000016	TEP-016	BATTER_S1_019	Synechocystis sp. PCC 6803	BATTER_S1_019_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	NC_000911	NC_000911.1	99380	99379	99380	+	U	SGL_RS02305	34874777	10.1128/mSystems.00943-21	Table S5	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_019_BATTER_S1_019_PUBLISHED_TEP_NC_000911-1_minus_100756_r000018	TEP-017	BATTER_S1_019_2021_TERMSEQ_NC_000911_1_R_000017	TEP-017	BATTER_S1_019	Synechocystis sp. PCC 6803	BATTER_S1_019_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	NC_000911	NC_000911.1	100756	100755	100756	-	P	SGL_RS02310	34874777	10.1128/mSystems.00943-21	Table S5	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_019_BATTER_S1_019_PUBLISHED_TEP_NC_000911-1_plus_127167_r000019	TEP-018	BATTER_S1_019_2021_TERMSEQ_NC_000911_1_F_000018	TEP-018	BATTER_S1_019	Synechocystis sp. PCC 6803	BATTER_S1_019_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	NC_000911	NC_000911.1	127167	127166	127167	+	P	SGL_RS02435	34874777	10.1128/mSystems.00943-21	Table S5	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_019_BATTER_S1_019_PUBLISHED_TEP_NC_000911-1_minus_129936_r000020	TEP-019	BATTER_S1_019_2021_TERMSEQ_NC_000911_1_R_000019	TEP-019	BATTER_S1_019	Synechocystis sp. PCC 6803	BATTER_S1_019_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	NC_000911	NC_000911.1	129936	129935	129936	-	P	SGL_RS02455	34874777	10.1128/mSystems.00943-21	Table S5	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_019_BATTER_S1_019_PUBLISHED_TEP_NC_000911-1_plus_130293_r000021	TEP-020	BATTER_S1_019_2021_TERMSEQ_NC_000911_1_F_000020	TEP-020	BATTER_S1_019	Synechocystis sp. PCC 6803	BATTER_S1_019_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	NC_000911	NC_000911.1	130293	130292	130293	+	P	SGL_RS02450	34874777	10.1128/mSystems.00943-21	Table S5	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_019_BATTER_S1_019_PUBLISHED_TEP_NC_000911-1_minus_133805_r000022	TEP-021	BATTER_S1_019_2021_TERMSEQ_NC_000911_1_R_000021	TEP-021	BATTER_S1_019	Synechocystis sp. PCC 6803	BATTER_S1_019_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	NC_000911	NC_000911.1	133805	133804	133805	-	A	SGL_RS02470	34874777	10.1128/mSystems.00943-21	Table S5	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_019_BATTER_S1_019_PUBLISHED_TEP_NC_000911-1_plus_133864_r000023	TEP-022	BATTER_S1_019_2021_TERMSEQ_NC_000911_1_F_000022	TEP-022	BATTER_S1_019	Synechocystis sp. PCC 6803	BATTER_S1_019_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	NC_000911	NC_000911.1	133864	133863	133864	+	P	SGL_RS02470	34874777	10.1128/mSystems.00943-21	Table S5	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_019_BATTER_S1_019_PUBLISHED_TEP_NC_000911-1_plus_134188_r000024	TEP-023	BATTER_S1_019_2021_TERMSEQ_NC_000911_1_F_000023	TEP-023	BATTER_S1_019	Synechocystis sp. PCC 6803	BATTER_S1_019_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	NC_000911	NC_000911.1	134188	134187	134188	+	P	SGL_RS02475	34874777	10.1128/mSystems.00943-21	Table S5	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_019_BATTER_S1_019_PUBLISHED_TEP_NC_000911-1_plus_138220_r000025	TEP-024	BATTER_S1_019_2021_TERMSEQ_NC_000911_1_F_000024	TEP-024	BATTER_S1_019	Synechocystis sp. PCC 6803	BATTER_S1_019_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	NC_000911	NC_000911.1	138220	138219	138220	+	S	SGL_RS02485	34874777	10.1128/mSystems.00943-21	Table S5	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_019_BATTER_S1_019_PUBLISHED_TEP_NC_000911-1_plus_138241_r000026	TEP-025	BATTER_S1_019_2021_TERMSEQ_NC_000911_1_F_000025	TEP-025	BATTER_S1_019	Synechocystis sp. PCC 6803	BATTER_S1_019_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	NC_000911	NC_000911.1	138241	138240	138241	+	P	SGL_RS02485	34874777	10.1128/mSystems.00943-21	Table S5	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_019_BATTER_S1_019_PUBLISHED_TEP_NC_000911-1_plus_143959_r000027	TEP-026	BATTER_S1_019_2021_TERMSEQ_NC_000911_1_F_000026	TEP-026	BATTER_S1_019	Synechocystis sp. PCC 6803	BATTER_S1_019_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	NC_000911	NC_000911.1	143959	143958	143959	+	P	SGL_RS02515	34874777	10.1128/mSystems.00943-21	Table S5	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_019_BATTER_S1_019_PUBLISHED_TEP_NC_000911-1_plus_145736_r000028	TEP-027	BATTER_S1_019_2021_TERMSEQ_NC_000911_1_F_000027	TEP-027	BATTER_S1_019	Synechocystis sp. PCC 6803	BATTER_S1_019_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	NC_000911	NC_000911.1	145736	145735	145736	+	U	SGL_RS02540	34874777	10.1128/mSystems.00943-21	Table S5	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_019_BATTER_S1_019_PUBLISHED_TEP_NC_000911-1_plus_146700_r000029	TEP-028	BATTER_S1_019_2021_TERMSEQ_NC_000911_1_F_000028	TEP-028	BATTER_S1_019	Synechocystis sp. PCC 6803	BATTER_S1_019_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	NC_000911	NC_000911.1	146700	146699	146700	+	P	SGL_RS02540	34874777	10.1128/mSystems.00943-21	Table S5	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_019_BATTER_S1_019_PUBLISHED_TEP_NC_000911-1_minus_147893_r000030	TEP-029	BATTER_S1_019_2021_TERMSEQ_NC_000911_1_R_000029	TEP-029	BATTER_S1_019	Synechocystis sp. PCC 6803	BATTER_S1_019_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	NC_000911	NC_000911.1	147893	147892	147893	-	P	SGL_RS02550	34874777	10.1128/mSystems.00943-21	Table S5	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_019_BATTER_S1_019_PUBLISHED_TEP_NC_000911-1_minus_150107_r000031	TEP-030	BATTER_S1_019_2021_TERMSEQ_NC_000911_1_R_000030	TEP-030	BATTER_S1_019	Synechocystis sp. PCC 6803	BATTER_S1_019_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	NC_000911	NC_000911.1	150107	150106	150107	-	I	SGL_RS02560	34874777	10.1128/mSystems.00943-21	Table S5	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_019_BATTER_S1_019_PUBLISHED_TEP_NC_000911-1_minus_150410_r000032	TEP-031	BATTER_S1_019_2021_TERMSEQ_NC_000911_1_R_000031	TEP-031	BATTER_S1_019	Synechocystis sp. PCC 6803	BATTER_S1_019_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	NC_000911	NC_000911.1	150410	150409	150410	-	I	SGL_RS02565	34874777	10.1128/mSystems.00943-21	Table S5	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_019_BATTER_S1_019_PUBLISHED_TEP_NC_000911-1_plus_154104_r000033	TEP-032	BATTER_S1_019_2021_TERMSEQ_NC_000911_1_F_000032	TEP-032	BATTER_S1_019	Synechocystis sp. PCC 6803	BATTER_S1_019_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	NC_000911	NC_000911.1	154104	154103	154104	+	P	SGL_RS02580	34874777	10.1128/mSystems.00943-21	Table S5	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_019_BATTER_S1_019_PUBLISHED_TEP_NC_000911-1_plus_154743_r000034	TEP-033	BATTER_S1_019_2021_TERMSEQ_NC_000911_1_F_000033	TEP-033	BATTER_S1_019	Synechocystis sp. PCC 6803	BATTER_S1_019_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	NC_000911	NC_000911.1	154743	154742	154743	+	P	SGL_RS02585	34874777	10.1128/mSystems.00943-21	Table S5	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_019_BATTER_S1_019_PUBLISHED_TEP_NC_000911-1_minus_156694_r000035	TEP-034	BATTER_S1_019_2021_TERMSEQ_NC_000911_1_R_000034	TEP-034	BATTER_S1_019	Synechocystis sp. PCC 6803	BATTER_S1_019_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	NC_000911	NC_000911.1	156694	156693	156694	-	P	SGL_RS02605	34874777	10.1128/mSystems.00943-21	Table S5	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_019_BATTER_S1_019_PUBLISHED_TEP_NC_000911-1_plus_156739_r000036	TEP-035	BATTER_S1_019_2021_TERMSEQ_NC_000911_1_F_000035	TEP-035	BATTER_S1_019	Synechocystis sp. PCC 6803	BATTER_S1_019_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	NC_000911	NC_000911.1	156739	156738	156739	+	P	SGL_RS02600	34874777	10.1128/mSystems.00943-21	Table S5	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_019_BATTER_S1_019_PUBLISHED_TEP_NC_000911-1_minus_163406_r000037	TEP-036	BATTER_S1_019_2021_TERMSEQ_NC_000911_1_R_000036	TEP-036	BATTER_S1_019	Synechocystis sp. PCC 6803	BATTER_S1_019_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	NC_000911	NC_000911.1	163406	163405	163406	-	I	SGL_RS02630	34874777	10.1128/mSystems.00943-21	Table S5	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_019_BATTER_S1_019_PUBLISHED_TEP_NC_000911-1_plus_170496_r000038	TEP-037	BATTER_S1_019_2021_TERMSEQ_NC_000911_1_F_000037	TEP-037	BATTER_S1_019	Synechocystis sp. PCC 6803	BATTER_S1_019_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	NC_000911	NC_000911.1	170496	170495	170496	+	U	SGL_RS02665	34874777	10.1128/mSystems.00943-21	Table S5	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_019_BATTER_S1_019_PUBLISHED_TEP_NC_000911-1_minus_171886_r000039	TEP-038	BATTER_S1_019_2021_TERMSEQ_NC_000911_1_R_000038	TEP-038	BATTER_S1_019	Synechocystis sp. PCC 6803	BATTER_S1_019_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	NC_000911	NC_000911.1	171886	171885	171886	-	P	SGL_RS02670	34874777	10.1128/mSystems.00943-21	Table S5	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_019_BATTER_S1_019_PUBLISHED_TEP_NC_000911-1_minus_172952_r000040	TEP-039	BATTER_S1_019_2021_TERMSEQ_NC_000911_1_R_000039	TEP-039	BATTER_S1_019	Synechocystis sp. PCC 6803	BATTER_S1_019_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	NC_000911	NC_000911.1	172952	172951	172952	-	P	SGL_RS02675	34874777	10.1128/mSystems.00943-21	Table S5	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_019_BATTER_S1_019_PUBLISHED_TEP_NC_000911-1_minus_173274_r000041	TEP-040	BATTER_S1_019_2021_TERMSEQ_NC_000911_1_R_000040	TEP-040	BATTER_S1_019	Synechocystis sp. PCC 6803	BATTER_S1_019_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	NC_000911	NC_000911.1	173274	173273	173274	-	I	SGL_RS02675	34874777	10.1128/mSystems.00943-21	Table S5	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_019_BATTER_S1_019_PUBLISHED_TEP_NC_000911-1_minus_175780_r000042	TEP-041	BATTER_S1_019_2021_TERMSEQ_NC_000911_1_R_000041	TEP-041	BATTER_S1_019	Synechocystis sp. PCC 6803	BATTER_S1_019_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	NC_000911	NC_000911.1	175780	175779	175780	-	I	SGL_RS02690	34874777	10.1128/mSystems.00943-21	Table S5	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_019_BATTER_S1_019_PUBLISHED_TEP_NC_000911-1_minus_176213_r000043	TEP-042	BATTER_S1_019_2021_TERMSEQ_NC_000911_1_R_000042	TEP-042	BATTER_S1_019	Synechocystis sp. PCC 6803	BATTER_S1_019_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	NC_000911	NC_000911.1	176213	176212	176213	-	P	SGL_RS02695	34874777	10.1128/mSystems.00943-21	Table S5	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_019_BATTER_S1_019_PUBLISHED_TEP_NC_000911-1_minus_176458_r000044	TEP-043	BATTER_S1_019_2021_TERMSEQ_NC_000911_1_R_000043	TEP-043	BATTER_S1_019	Synechocystis sp. PCC 6803	BATTER_S1_019_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	NC_000911	NC_000911.1	176458	176457	176458	-	I	SGL_RS02695	34874777	10.1128/mSystems.00943-21	Table S5	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_019_BATTER_S1_019_PUBLISHED_TEP_NC_000911-1_minus_176595_r000045	TEP-044	BATTER_S1_019_2021_TERMSEQ_NC_000911_1_R_000044	TEP-044	BATTER_S1_019	Synechocystis sp. PCC 6803	BATTER_S1_019_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	NC_000911	NC_000911.1	176595	176594	176595	-	P	SGL_RS02700	34874777	10.1128/mSystems.00943-21	Table S5	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_019_BATTER_S1_019_PUBLISHED_TEP_NC_000911-1_minus_177730_r000046	TEP-045	BATTER_S1_019_2021_TERMSEQ_NC_000911_1_R_000045	TEP-045	BATTER_S1_019	Synechocystis sp. PCC 6803	BATTER_S1_019_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	NC_000911	NC_000911.1	177730	177729	177730	-	I	SGL_RS02705	34874777	10.1128/mSystems.00943-21	Table S5	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_019_BATTER_S1_019_PUBLISHED_TEP_NC_000911-1_minus_177978_r000047	TEP-046	BATTER_S1_019_2021_TERMSEQ_NC_000911_1_R_000046	TEP-046	BATTER_S1_019	Synechocystis sp. PCC 6803	BATTER_S1_019_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	NC_000911	NC_000911.1	177978	177977	177978	-	I	SGL_RS02705	34874777	10.1128/mSystems.00943-21	Table S5	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_019_BATTER_S1_019_PUBLISHED_TEP_NC_000911-1_plus_183925_r000048	TEP-047	BATTER_S1_019_2021_TERMSEQ_NC_000911_1_F_000047	TEP-047	BATTER_S1_019	Synechocystis sp. PCC 6803	BATTER_S1_019_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	NC_000911	NC_000911.1	183925	183924	183925	+	S	SGL_RS02730	34874777	10.1128/mSystems.00943-21	Table S5	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_019_BATTER_S1_019_PUBLISHED_TEP_NC_000911-1_plus_183932_r000049	TEP-048	BATTER_S1_019_2021_TERMSEQ_NC_000911_1_F_000048	TEP-048	BATTER_S1_019	Synechocystis sp. PCC 6803	BATTER_S1_019_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	NC_000911	NC_000911.1	183932	183931	183932	+	P	SGL_RS02730	34874777	10.1128/mSystems.00943-21	Table S5	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_019_BATTER_S1_019_PUBLISHED_TEP_NC_000911-1_plus_194860_r000050	TEP-049	BATTER_S1_019_2021_TERMSEQ_NC_000911_1_F_000049	TEP-049	BATTER_S1_019	Synechocystis sp. PCC 6803	BATTER_S1_019_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	NC_000911	NC_000911.1	194860	194859	194860	+	P	SGL_RS02785	34874777	10.1128/mSystems.00943-21	Table S5	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_019_BATTER_S1_019_PUBLISHED_TEP_NC_000911-1_minus_208459_r000051	TEP-050	BATTER_S1_019_2021_TERMSEQ_NC_000911_1_R_000050	TEP-050	BATTER_S1_019	Synechocystis sp. PCC 6803	BATTER_S1_019_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	NC_000911	NC_000911.1	208459	208458	208459	-	P	SGL_RS02840	34874777	10.1128/mSystems.00943-21	Table S5	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_019_BATTER_S1_019_PUBLISHED_TEP_NC_000911-1_minus_215433_r000052	TEP-051	BATTER_S1_019_2021_TERMSEQ_NC_000911_1_R_000051	TEP-051	BATTER_S1_019	Synechocystis sp. PCC 6803	BATTER_S1_019_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	NC_000911	NC_000911.1	215433	215432	215433	-	P	SGL_RS02870	34874777	10.1128/mSystems.00943-21	Table S5	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_019_BATTER_S1_019_PUBLISHED_TEP_NC_000911-1_minus_216169_r000053	TEP-052	BATTER_S1_019_2021_TERMSEQ_NC_000911_1_R_000052	TEP-052	BATTER_S1_019	Synechocystis sp. PCC 6803	BATTER_S1_019_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	NC_000911	NC_000911.1	216169	216168	216169	-	P	SGL_RS02875	34874777	10.1128/mSystems.00943-21	Table S5	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_019_BATTER_S1_019_PUBLISHED_TEP_NC_000911-1_minus_216207_r000054	TEP-053	BATTER_S1_019_2021_TERMSEQ_NC_000911_1_R_000053	TEP-053	BATTER_S1_019	Synechocystis sp. PCC 6803	BATTER_S1_019_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	NC_000911	NC_000911.1	216207	216206	216207	-	S	SGL_RS02875	34874777	10.1128/mSystems.00943-21	Table S5	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_019_BATTER_S1_019_PUBLISHED_TEP_NC_000911-1_minus_219360_r000055	TEP-054	BATTER_S1_019_2021_TERMSEQ_NC_000911_1_R_000054	TEP-054	BATTER_S1_019	Synechocystis sp. PCC 6803	BATTER_S1_019_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	NC_000911	NC_000911.1	219360	219359	219360	-	I	SGL_RS02890	34874777	10.1128/mSystems.00943-21	Table S5	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_019_BATTER_S1_019_PUBLISHED_TEP_NC_000911-1_minus_219782_r000056	TEP-055	BATTER_S1_019_2021_TERMSEQ_NC_000911_1_R_000055	TEP-055	BATTER_S1_019	Synechocystis sp. PCC 6803	BATTER_S1_019_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	NC_000911	NC_000911.1	219782	219781	219782	-	P	SGL_RS02895	34874777	10.1128/mSystems.00943-21	Table S5	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_019_BATTER_S1_019_PUBLISHED_TEP_NC_000911-1_plus_240170_r000057	TEP-056	BATTER_S1_019_2021_TERMSEQ_NC_000911_1_F_000056	TEP-056	BATTER_S1_019	Synechocystis sp. PCC 6803	BATTER_S1_019_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	NC_000911	NC_000911.1	240170	240169	240170	+	A	SGL_RS02975	34874777	10.1128/mSystems.00943-21	Table S5	author Position treated as 1-based; BED start=Position-1
