end_id	source_record_id	source_end_id	source_id	species	sample_id	assay	evidence_class	reference_name	biological_coordinate_1based	bed_start_0based	bed_end_0based	strand	intensity	category	associated_gene	pmid	doi	source_table	coordinate_interpretation
BTED_BATTER_S1_007_LEE2019_TERMSEQ_PUBLISHED_TEP_CP009124-1_minus_154847_r000012	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_R_000011	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_R_000011	BATTER_S1_007	Streptomyces lividans TK24	LEE2019_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP009124.1	154847	154846	154847	-	-8.425269932	P	SLIV_00795	31555254	10.3389/fmicb.2019.02074	Supplementary Dataset 3 / Table_6.XLSX	author genomic Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_007_LEE2019_TERMSEQ_PUBLISHED_TEP_CP009124-1_minus_157187_r000013	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_R_000012	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_R_000012	BATTER_S1_007	Streptomyces lividans TK24	LEE2019_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP009124.1	157187	157186	157187	-	-0.485001154	P	SLIV_00805	31555254	10.3389/fmicb.2019.02074	Supplementary Dataset 3 / Table_6.XLSX	author genomic Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_007_LEE2019_TERMSEQ_PUBLISHED_TEP_CP009124-1_minus_159650_r000014	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_R_000013	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_R_000013	BATTER_S1_007	Streptomyces lividans TK24	LEE2019_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP009124.1	159650	159649	159650	-	-3.208390972	S	SLIV_00815	31555254	10.3389/fmicb.2019.02074	Supplementary Dataset 3 / Table_6.XLSX	author genomic Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_007_LEE2019_TERMSEQ_PUBLISHED_TEP_CP009124-1_minus_160085_r000015	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_R_000014	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_R_000014	BATTER_S1_007	Streptomyces lividans TK24	LEE2019_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP009124.1	160085	160084	160085	-	-8.144194037	P	SLIV_00815	31555254	10.3389/fmicb.2019.02074	Supplementary Dataset 3 / Table_6.XLSX	author genomic Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_007_LEE2019_TERMSEQ_PUBLISHED_TEP_CP009124-1_plus_162817_r000016	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_F_000015	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_F_000015	BATTER_S1_007	Streptomyces lividans TK24	LEE2019_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP009124.1	162817	162816	162817	+	1.984304763	P	SLIV_00825	31555254	10.3389/fmicb.2019.02074	Supplementary Dataset 3 / Table_6.XLSX	author genomic Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_007_LEE2019_TERMSEQ_PUBLISHED_TEP_CP009124-1_minus_211629_r000017	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_R_000016	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_R_000016	BATTER_S1_007	Streptomyces lividans TK24	LEE2019_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP009124.1	211629	211628	211629	-	-0.291000692	A	SLIV_01025	31555254	10.3389/fmicb.2019.02074	Supplementary Dataset 3 / Table_6.XLSX	author genomic Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_007_LEE2019_TERMSEQ_PUBLISHED_TEP_CP009124-1_minus_212042_r000018	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_R_000017	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_R_000017	BATTER_S1_007	Streptomyces lividans TK24	LEE2019_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP009124.1	212042	212041	212042	-	-0.895152151	S	SLIV_01030	31555254	10.3389/fmicb.2019.02074	Supplementary Dataset 3 / Table_6.XLSX	author genomic Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_007_LEE2019_TERMSEQ_PUBLISHED_TEP_CP009124-1_minus_212227_r000019	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_R_000018	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_R_000018	BATTER_S1_007	Streptomyces lividans TK24	LEE2019_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP009124.1	212227	212226	212227	-	-12.9832642	P	SLIV_01030	31555254	10.3389/fmicb.2019.02074	Supplementary Dataset 3 / Table_6.XLSX	author genomic Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_007_LEE2019_TERMSEQ_PUBLISHED_TEP_CP009124-1_minus_222341_r000020	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_R_000019	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_R_000019	BATTER_S1_007	Streptomyces lividans TK24	LEE2019_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP009124.1	222341	222340	222341	-	-1.0896609	P	SLIV_01080	31555254	10.3389/fmicb.2019.02074	Supplementary Dataset 3 / Table_6.XLSX	author genomic Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_007_LEE2019_TERMSEQ_PUBLISHED_TEP_CP009124-1_minus_223432_r000021	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_R_000020	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_R_000020	BATTER_S1_007	Streptomyces lividans TK24	LEE2019_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP009124.1	223432	223431	223432	-	-1.216194563	P	SLIV_01085	31555254	10.3389/fmicb.2019.02074	Supplementary Dataset 3 / Table_6.XLSX	author genomic Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_007_LEE2019_TERMSEQ_PUBLISHED_TEP_CP009124-1_minus_236919_r000022	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_R_000021	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_R_000021	BATTER_S1_007	Streptomyces lividans TK24	LEE2019_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP009124.1	236919	236918	236919	-	-5.992880806	P	SLIV_01155	31555254	10.3389/fmicb.2019.02074	Supplementary Dataset 3 / Table_6.XLSX	author genomic Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_007_LEE2019_TERMSEQ_PUBLISHED_TEP_CP009124-1_plus_239976_r000023	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_F_000022	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_F_000022	BATTER_S1_007	Streptomyces lividans TK24	LEE2019_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP009124.1	239976	239975	239976	+	1.716470721	S	SLIV_01160	31555254	10.3389/fmicb.2019.02074	Supplementary Dataset 3 / Table_6.XLSX	author genomic Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_007_LEE2019_TERMSEQ_PUBLISHED_TEP_CP009124-1_plus_240301_r000024	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_F_000023	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_F_000023	BATTER_S1_007	Streptomyces lividans TK24	LEE2019_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP009124.1	240301	240300	240301	+	2.418130698	P	SLIV_01160	31555254	10.3389/fmicb.2019.02074	Supplementary Dataset 3 / Table_6.XLSX	author genomic Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_007_LEE2019_TERMSEQ_PUBLISHED_TEP_CP009124-1_plus_270468_r000025	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_F_000024	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_F_000024	BATTER_S1_007	Streptomyces lividans TK24	LEE2019_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP009124.1	270468	270467	270468	+	0.477617796	P	SLIV_01310	31555254	10.3389/fmicb.2019.02074	Supplementary Dataset 3 / Table_6.XLSX	author genomic Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_007_LEE2019_TERMSEQ_PUBLISHED_TEP_CP009124-1_plus_325159_r000026	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_F_000025	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_F_000025	BATTER_S1_007	Streptomyces lividans TK24	LEE2019_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP009124.1	325159	325158	325159	+	0.917810513	P	SLIV_01560	31555254	10.3389/fmicb.2019.02074	Supplementary Dataset 3 / Table_6.XLSX	author genomic Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_007_LEE2019_TERMSEQ_PUBLISHED_TEP_CP009124-1_plus_325760_r000027	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_F_000026	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_F_000026	BATTER_S1_007	Streptomyces lividans TK24	LEE2019_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP009124.1	325760	325759	325760	+	0.887768793	P	SLIV_01565	31555254	10.3389/fmicb.2019.02074	Supplementary Dataset 3 / Table_6.XLSX	author genomic Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_007_LEE2019_TERMSEQ_PUBLISHED_TEP_CP009124-1_minus_340006_r000028	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_R_000027	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_R_000027	BATTER_S1_007	Streptomyces lividans TK24	LEE2019_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP009124.1	340006	340005	340006	-	-2.754956402	P	SLIV_01630	31555254	10.3389/fmicb.2019.02074	Supplementary Dataset 3 / Table_6.XLSX	author genomic Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_007_LEE2019_TERMSEQ_PUBLISHED_TEP_CP009124-1_minus_365848_r000029	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_R_000028	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_R_000028	BATTER_S1_007	Streptomyces lividans TK24	LEE2019_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP009124.1	365848	365847	365848	-	-4.880561544	P	SLIV_01730	31555254	10.3389/fmicb.2019.02074	Supplementary Dataset 3 / Table_6.XLSX	author genomic Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_007_LEE2019_TERMSEQ_PUBLISHED_TEP_CP009124-1_plus_373131_r000030	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_F_000029	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_F_000029	BATTER_S1_007	Streptomyces lividans TK24	LEE2019_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP009124.1	373131	373130	373131	+	58.26602763	P	SLIV_01760	31555254	10.3389/fmicb.2019.02074	Supplementary Dataset 3 / Table_6.XLSX	author genomic Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_007_LEE2019_TERMSEQ_PUBLISHED_TEP_CP009124-1_plus_375787_r000031	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_F_000030	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_F_000030	BATTER_S1_007	Streptomyces lividans TK24	LEE2019_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP009124.1	375787	375786	375787	+	1.156619411	C	SLIV_01775	31555254	10.3389/fmicb.2019.02074	Supplementary Dataset 3 / Table_6.XLSX	author genomic Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_007_LEE2019_TERMSEQ_PUBLISHED_TEP_CP009124-1_plus_404082_r000032	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_F_000031	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_F_000031	BATTER_S1_007	Streptomyces lividans TK24	LEE2019_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP009124.1	404082	404081	404082	+	1.776045873	S	SLIV_01900	31555254	10.3389/fmicb.2019.02074	Supplementary Dataset 3 / Table_6.XLSX	author genomic Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_007_LEE2019_TERMSEQ_PUBLISHED_TEP_CP009124-1_plus_404215_r000033	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_F_000032	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_F_000032	BATTER_S1_007	Streptomyces lividans TK24	LEE2019_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP009124.1	404215	404214	404215	+	3.156707465	P	SLIV_01900	31555254	10.3389/fmicb.2019.02074	Supplementary Dataset 3 / Table_6.XLSX	author genomic Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_007_LEE2019_TERMSEQ_PUBLISHED_TEP_CP009124-1_plus_404311_r000034	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_F_000033	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_F_000033	BATTER_S1_007	Streptomyces lividans TK24	LEE2019_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP009124.1	404311	404310	404311	+	1.171386127	S	SLIV_01900	31555254	10.3389/fmicb.2019.02074	Supplementary Dataset 3 / Table_6.XLSX	author genomic Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_007_LEE2019_TERMSEQ_PUBLISHED_TEP_CP009124-1_minus_409600_r000035	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_R_000034	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_R_000034	BATTER_S1_007	Streptomyces lividans TK24	LEE2019_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP009124.1	409600	409599	409600	-	-0.291000692	P	SLIV_01930	31555254	10.3389/fmicb.2019.02074	Supplementary Dataset 3 / Table_6.XLSX	author genomic Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_007_LEE2019_TERMSEQ_PUBLISHED_TEP_CP009124-1_minus_411011_r000036	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_R_000035	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_R_000035	BATTER_S1_007	Streptomyces lividans TK24	LEE2019_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP009124.1	411011	411010	411011	-	-1.223577921	P	SLIV_01935	31555254	10.3389/fmicb.2019.02074	Supplementary Dataset 3 / Table_6.XLSX	author genomic Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_007_LEE2019_TERMSEQ_PUBLISHED_TEP_CP009124-1_minus_418273_r000037	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_R_000036	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_R_000036	BATTER_S1_007	Streptomyces lividans TK24	LEE2019_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP009124.1	418273	418272	418273	-	-1.522470259	P	SLIV_01975	31555254	10.3389/fmicb.2019.02074	Supplementary Dataset 3 / Table_6.XLSX	author genomic Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_007_LEE2019_TERMSEQ_PUBLISHED_TEP_CP009124-1_minus_419483_r000038	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_R_000037	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_R_000037	BATTER_S1_007	Streptomyces lividans TK24	LEE2019_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP009124.1	419483	419482	419483	-	-19.23862884	C	SLIV_01975	31555254	10.3389/fmicb.2019.02074	Supplementary Dataset 3 / Table_6.XLSX	author genomic Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_007_LEE2019_TERMSEQ_PUBLISHED_TEP_CP009124-1_minus_422299_r000039	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_R_000038	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_R_000038	BATTER_S1_007	Streptomyces lividans TK24	LEE2019_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP009124.1	422299	422298	422299	-	-0.790768562	C	SLIV_01995	31555254	10.3389/fmicb.2019.02074	Supplementary Dataset 3 / Table_6.XLSX	author genomic Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_007_LEE2019_TERMSEQ_PUBLISHED_TEP_CP009124-1_minus_451009_r000040	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_R_000039	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_R_000039	BATTER_S1_007	Streptomyces lividans TK24	LEE2019_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP009124.1	451009	451008	451009	-	-0.768618488	P	SLIV_02140	31555254	10.3389/fmicb.2019.02074	Supplementary Dataset 3 / Table_6.XLSX	author genomic Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_007_LEE2019_TERMSEQ_PUBLISHED_TEP_CP009124-1_plus_482785_r000041	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_F_000040	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_F_000040	BATTER_S1_007	Streptomyces lividans TK24	LEE2019_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP009124.1	482785	482784	482785	+	0.477617796	P	SLIV_02290	31555254	10.3389/fmicb.2019.02074	Supplementary Dataset 3 / Table_6.XLSX	author genomic Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_007_LEE2019_TERMSEQ_PUBLISHED_TEP_CP009124-1_plus_488918_r000042	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_F_000041	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_F_000041	BATTER_S1_007	Streptomyces lividans TK24	LEE2019_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP009124.1	488918	488917	488918	+	0.447576075	P	SLIV_02320	31555254	10.3389/fmicb.2019.02074	Supplementary Dataset 3 / Table_6.XLSX	author genomic Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_007_LEE2019_TERMSEQ_PUBLISHED_TEP_CP009124-1_minus_503154_r000043	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_R_000042	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_R_000042	BATTER_S1_007	Streptomyces lividans TK24	LEE2019_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP009124.1	503154	503153	503154	-	-0.716426693	P	SLIV_02395	31555254	10.3389/fmicb.2019.02074	Supplementary Dataset 3 / Table_6.XLSX	author genomic Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_007_LEE2019_TERMSEQ_PUBLISHED_TEP_CP009124-1_minus_590067_r000044	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_R_000043	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_R_000043	BATTER_S1_007	Streptomyces lividans TK24	LEE2019_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP009124.1	590067	590066	590067	-	-0.656851541	P	SLIV_02800	31555254	10.3389/fmicb.2019.02074	Supplementary Dataset 3 / Table_6.XLSX	author genomic Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_007_LEE2019_TERMSEQ_PUBLISHED_TEP_CP009124-1_minus_590196_r000045	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_R_000044	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_R_000044	BATTER_S1_007	Streptomyces lividans TK24	LEE2019_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP009124.1	590196	590195	590196	-	-0.485001154	S	SLIV_02800	31555254	10.3389/fmicb.2019.02074	Supplementary Dataset 3 / Table_6.XLSX	author genomic Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_007_LEE2019_TERMSEQ_PUBLISHED_TEP_CP009124-1_minus_613132_r000046	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_R_000045	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_R_000045	BATTER_S1_007	Streptomyces lividans TK24	LEE2019_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP009124.1	613132	613131	613132	-	-0.567234668	P	SLIV_02910	31555254	10.3389/fmicb.2019.02074	Supplementary Dataset 3 / Table_6.XLSX	author genomic Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_007_LEE2019_TERMSEQ_PUBLISHED_TEP_CP009124-1_plus_613217_r000047	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_F_000046	BATTER_S1_007_LEE2019_TERMSEQ_CP009124_1_F_000046	BATTER_S1_007	Streptomyces lividans TK24	LEE2019_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP009124.1	613217	613216	613217	+	2.44078906	P	SLIV_02905	31555254	10.3389/fmicb.2019.02074	Supplementary Dataset 3 / Table_6.XLSX	author genomic Position treated as 1-based; BED start=Position-1
