end_id	source_record_id	source_end_id	author_tep_id	source_id	species	sample_id	assay	evidence_class	replicon_label	reference_name	biological_coordinate_1based	bed_start_0based	bed_end_0based	strand	abundance	category	associated_gene	folding_free_energy_kcal_mol	average_readthrough_fraction	pmid	doi	source_table	coordinate_interpretation
BTED_BATTER_S1_017_HWANG2021_TERMSEQ_PUBLISHED_TEP_CP027858-1_plus_164324_r000012	TEP-0011	BATTER_S1_017_HWANG2021_TERMSEQ_CP027858_1_F_000011	TEP-0011	BATTER_S1_017	Streptomyces clavuligerus ATCC 27064	HWANG2021_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	Chromosome	CP027858.1	164324	164323	164324	+	12.53704614	N	N	-16.58	0.44062189618658126	33947798	10.1128/mSystems.01013-20	Data Set S1 Sheet1	author TEP position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_017_HWANG2021_TERMSEQ_PUBLISHED_TEP_CP027858-1_plus_170101_r000013	TEP-0012	BATTER_S1_017_HWANG2021_TERMSEQ_CP027858_1_F_000012	TEP-0012	BATTER_S1_017	Streptomyces clavuligerus ATCC 27064	HWANG2021_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	Chromosome	CP027858.1	170101	170100	170101	+	22.3022526	N	N	-30.32	108.48368370227956	33947798	10.1128/mSystems.01013-20	Data Set S1 Sheet1	author TEP position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_017_HWANG2021_TERMSEQ_PUBLISHED_TEP_CP027858-1_plus_171145_r000014	TEP-0013	BATTER_S1_017_HWANG2021_TERMSEQ_CP027858_1_F_000013	TEP-0013	BATTER_S1_017	Streptomyces clavuligerus ATCC 27064	HWANG2021_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	Chromosome	CP027858.1	171145	171144	171145	+	6.082182592	P	CRV15_00635	-12.48	0.5515691689136445	33947798	10.1128/mSystems.01013-20	Data Set S1 Sheet1	author TEP position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_017_HWANG2021_TERMSEQ_PUBLISHED_TEP_CP027858-1_plus_204482_r000015	TEP-0014	BATTER_S1_017_HWANG2021_TERMSEQ_CP027858_1_F_000014	TEP-0014	BATTER_S1_017	Streptomyces clavuligerus ATCC 27064	HWANG2021_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	Chromosome	CP027858.1	204482	204481	204482	+	4.826781536	N	N	-21.84	56.5097195184446	33947798	10.1128/mSystems.01013-20	Data Set S1 Sheet1	author TEP position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_017_HWANG2021_TERMSEQ_PUBLISHED_TEP_CP027858-1_plus_217763_r000016	TEP-0015	BATTER_S1_017_HWANG2021_TERMSEQ_CP027858_1_F_000015	TEP-0015	BATTER_S1_017	Streptomyces clavuligerus ATCC 27064	HWANG2021_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	Chromosome	CP027858.1	217763	217762	217763	+	11.56621831	Pre	CRV15_00865	-10.4	4.330987124065312	33947798	10.1128/mSystems.01013-20	Data Set S1 Sheet1	author TEP position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_017_HWANG2021_TERMSEQ_PUBLISHED_TEP_CP027858-1_plus_218841_r000017	TEP-0016	BATTER_S1_017_HWANG2021_TERMSEQ_CP027858_1_F_000016	TEP-0016	BATTER_S1_017	Streptomyces clavuligerus ATCC 27064	HWANG2021_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	Chromosome	CP027858.1	218841	218840	218841	+	13.06733533	P	CRV15_00865	-28.75	0.39190482541514426	33947798	10.1128/mSystems.01013-20	Data Set S1 Sheet1	author TEP position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_017_HWANG2021_TERMSEQ_PUBLISHED_TEP_CP027858-1_plus_227199_r000018	TEP-0017	BATTER_S1_017_HWANG2021_TERMSEQ_CP027858_1_F_000017	TEP-0017	BATTER_S1_017	Streptomyces clavuligerus ATCC 27064	HWANG2021_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	Chromosome	CP027858.1	227199	227198	227199	+	9.778885264	P	CRV15_00875	-13.58	0.29038544162927604	33947798	10.1128/mSystems.01013-20	Data Set S1 Sheet1	author TEP position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_017_HWANG2021_TERMSEQ_PUBLISHED_TEP_CP027858-1_plus_227313_r000019	TEP-0018	BATTER_S1_017_HWANG2021_TERMSEQ_CP027858_1_F_000018	TEP-0018	BATTER_S1_017	Streptomyces clavuligerus ATCC 27064	HWANG2021_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	Chromosome	CP027858.1	227313	227312	227313	+	21.24003143	P	CRV15_00880	-32.62	0.20979564969164122	33947798	10.1128/mSystems.01013-20	Data Set S1 Sheet1	author TEP position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_017_HWANG2021_TERMSEQ_PUBLISHED_TEP_CP027858-1_minus_251267_r000020	TEP-0019	BATTER_S1_017_HWANG2021_TERMSEQ_CP027858_1_R_000019	TEP-0019	BATTER_S1_017	Streptomyces clavuligerus ATCC 27064	HWANG2021_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	Chromosome	CP027858.1	251267	251266	251267	-	-1.645046435	P	CRV15_00960	-20.01	0.01510042461287969	33947798	10.1128/mSystems.01013-20	Data Set S1 Sheet1	author TEP position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_017_HWANG2021_TERMSEQ_PUBLISHED_TEP_CP027858-1_minus_258970_r000021	TEP-0020	BATTER_S1_017_HWANG2021_TERMSEQ_CP027858_1_R_000020	TEP-0020	BATTER_S1_017	Streptomyces clavuligerus ATCC 27064	HWANG2021_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	Chromosome	CP027858.1	258970	258969	258970	-	-2.175335619	P	CRV15_00995	-24.81	0.11936275821544767	33947798	10.1128/mSystems.01013-20	Data Set S1 Sheet1	author TEP position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_017_HWANG2021_TERMSEQ_PUBLISHED_TEP_CP027858-1_minus_261493_r000022	TEP-0021	BATTER_S1_017_HWANG2021_TERMSEQ_CP027858_1_R_000021	TEP-0021	BATTER_S1_017	Streptomyces clavuligerus ATCC 27064	HWANG2021_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	Chromosome	CP027858.1	261493	261492	261493	-	-3.254521217	P	CRV15_01010	-20.41	0.13005746132221674	33947798	10.1128/mSystems.01013-20	Data Set S1 Sheet1	author TEP position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_017_HWANG2021_TERMSEQ_PUBLISHED_TEP_CP027858-1_minus_262734_r000023	TEP-0022	BATTER_S1_017_HWANG2021_TERMSEQ_CP027858_1_R_000022	TEP-0022	BATTER_S1_017	Streptomyces clavuligerus ATCC 27064	HWANG2021_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	Chromosome	CP027858.1	262734	262733	262734	-	-56.01858005	P	CRV15_01015	-11.35	0.6163331825658342	33947798	10.1128/mSystems.01013-20	Data Set S1 Sheet1	author TEP position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_017_HWANG2021_TERMSEQ_PUBLISHED_TEP_CP027858-1_minus_263166_r000024	TEP-0023	BATTER_S1_017_HWANG2021_TERMSEQ_CP027858_1_R_000023	TEP-0023	BATTER_S1_017	Streptomyces clavuligerus ATCC 27064	HWANG2021_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	Chromosome	CP027858.1	263166	263165	263166	-	-9.653563072	N	N	-28.0	3.3074159268227126	33947798	10.1128/mSystems.01013-20	Data Set S1 Sheet1	author TEP position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_017_HWANG2021_TERMSEQ_PUBLISHED_TEP_CP027858-1_minus_263220_r000025	TEP-0024	BATTER_S1_017_HWANG2021_TERMSEQ_CP027858_1_R_000024	TEP-0024	BATTER_S1_017	Streptomyces clavuligerus ATCC 27064	HWANG2021_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	Chromosome	CP027858.1	263220	263219	263220	-	-8.394876396	N	N	-17.52	13.010755329410625	33947798	10.1128/mSystems.01013-20	Data Set S1 Sheet1	author TEP position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_017_HWANG2021_TERMSEQ_PUBLISHED_TEP_CP027858-1_minus_276457_r000026	TEP-0025	BATTER_S1_017_HWANG2021_TERMSEQ_CP027858_1_R_000025	TEP-0025	BATTER_S1_017	Streptomyces clavuligerus ATCC 27064	HWANG2021_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	Chromosome	CP027858.1	276457	276456	276457	-	-3.200342332	S	CRV15_01065	-36.9	0.1921632175453405	33947798	10.1128/mSystems.01013-20	Data Set S1 Sheet1	author TEP position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_017_HWANG2021_TERMSEQ_PUBLISHED_TEP_CP027858-1_minus_276491_r000027	TEP-0026	BATTER_S1_017_HWANG2021_TERMSEQ_CP027858_1_R_000026	TEP-0026	BATTER_S1_017	Streptomyces clavuligerus ATCC 27064	HWANG2021_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	Chromosome	CP027858.1	276491	276490	276491	-	-11.10542963	P	CRV15_01065	-23.94	0.173007947323164	33947798	10.1128/mSystems.01013-20	Data Set S1 Sheet1	author TEP position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_017_HWANG2021_TERMSEQ_PUBLISHED_TEP_CP027858-1_minus_278377_r000028	TEP-0027	BATTER_S1_017_HWANG2021_TERMSEQ_CP027858_1_R_000027	TEP-0027	BATTER_S1_017	Streptomyces clavuligerus ATCC 27064	HWANG2021_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	Chromosome	CP027858.1	278377	278376	278377	-	-2.670053149	P	CRV15_01070	-18.76	0.0577174250671554	33947798	10.1128/mSystems.01013-20	Data Set S1 Sheet1	author TEP position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_017_HWANG2021_TERMSEQ_PUBLISHED_TEP_CP027858-1_minus_296753_r000029	TEP-0028	BATTER_S1_017_HWANG2021_TERMSEQ_CP027858_1_R_000028	TEP-0028	BATTER_S1_017	Streptomyces clavuligerus ATCC 27064	HWANG2021_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	Chromosome	CP027858.1	296753	296752	296753	-	-29.03511814	N	N	-26.32	0.0219505064704223	33947798	10.1128/mSystems.01013-20	Data Set S1 Sheet1	author TEP position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_017_HWANG2021_TERMSEQ_PUBLISHED_TEP_CP027858-1_plus_334706_r000030	TEP-0029	BATTER_S1_017_HWANG2021_TERMSEQ_CP027858_1_F_000029	TEP-0029	BATTER_S1_017	Streptomyces clavuligerus ATCC 27064	HWANG2021_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	Chromosome	CP027858.1	334706	334705	334706	+	4.438778967	P	CRV15_01270	-25.09	0.300242654455953	33947798	10.1128/mSystems.01013-20	Data Set S1 Sheet1	author TEP position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_017_HWANG2021_TERMSEQ_PUBLISHED_TEP_CP027858-1_minus_343417_r000031	TEP-0030	BATTER_S1_017_HWANG2021_TERMSEQ_CP027858_1_R_000030	TEP-0030	BATTER_S1_017	Streptomyces clavuligerus ATCC 27064	HWANG2021_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	Chromosome	CP027858.1	343417	343416	343417	-	-3.552773248	P	CRV15_01315	-33.22	0.6227928718845726	33947798	10.1128/mSystems.01013-20	Data Set S1 Sheet1	author TEP position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_017_HWANG2021_TERMSEQ_PUBLISHED_TEP_CP027858-1_plus_349765_r000032	TEP-0031	BATTER_S1_017_HWANG2021_TERMSEQ_CP027858_1_F_000031	TEP-0031	BATTER_S1_017	Streptomyces clavuligerus ATCC 27064	HWANG2021_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	Chromosome	CP027858.1	349765	349764	349765	+	5.145283608	P	CRV15_01345	-35.47	0.044077754963145685	33947798	10.1128/mSystems.01013-20	Data Set S1 Sheet1	author TEP position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_017_HWANG2021_TERMSEQ_PUBLISHED_TEP_CP027858-1_minus_367412_r000033	TEP-0032	BATTER_S1_017_HWANG2021_TERMSEQ_CP027858_1_R_000032	TEP-0032	BATTER_S1_017	Streptomyces clavuligerus ATCC 27064	HWANG2021_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	Chromosome	CP027858.1	367412	367411	367412	-	-2.404087152	P	CRV15_01410	-32.67	0.12287969448706093	33947798	10.1128/mSystems.01013-20	Data Set S1 Sheet1	author TEP position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_017_HWANG2021_TERMSEQ_PUBLISHED_TEP_CP027858-1_minus_407018_r000034	TEP-0033	BATTER_S1_017_HWANG2021_TERMSEQ_CP027858_1_R_000033	TEP-0033	BATTER_S1_017	Streptomyces clavuligerus ATCC 27064	HWANG2021_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	Chromosome	CP027858.1	407018	407017	407018	-	-2.864875838	P	CRV15_01590	-15.83	0.3555387612610975	33947798	10.1128/mSystems.01013-20	Data Set S1 Sheet1	author TEP position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_017_HWANG2021_TERMSEQ_PUBLISHED_TEP_CP027858-1_plus_429250_r000035	TEP-0034	BATTER_S1_017_HWANG2021_TERMSEQ_CP027858_1_F_000034	TEP-0034	BATTER_S1_017	Streptomyces clavuligerus ATCC 27064	HWANG2021_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	Chromosome	CP027858.1	429250	429249	429250	+	1.555295897	P	CRV15_01675	-16.15	0.24364002021898173	33947798	10.1128/mSystems.01013-20	Data Set S1 Sheet1	author TEP position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_017_HWANG2021_TERMSEQ_PUBLISHED_TEP_CP027858-1_minus_448225_r000036	TEP-0035	BATTER_S1_017_HWANG2021_TERMSEQ_CP027858_1_R_000035	TEP-0035	BATTER_S1_017	Streptomyces clavuligerus ATCC 27064	HWANG2021_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	Chromosome	CP027858.1	448225	448224	448225	-	-7.674692953	S	CRV15_01770	-28.01	1.3568974510231688	33947798	10.1128/mSystems.01013-20	Data Set S1 Sheet1	author TEP position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_017_HWANG2021_TERMSEQ_PUBLISHED_TEP_CP027858-1_minus_448272_r000037	TEP-0036	BATTER_S1_017_HWANG2021_TERMSEQ_CP027858_1_R_000036	TEP-0036	BATTER_S1_017	Streptomyces clavuligerus ATCC 27064	HWANG2021_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	Chromosome	CP027858.1	448272	448271	448272	-	-10.63096214	P	CRV15_01770	-16.05	10.394657559280601	33947798	10.1128/mSystems.01013-20	Data Set S1 Sheet1	author TEP position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_017_HWANG2021_TERMSEQ_PUBLISHED_TEP_CP027858-1_plus_501427_r000038	TEP-0037	BATTER_S1_017_HWANG2021_TERMSEQ_CP027858_1_F_000037	TEP-0037	BATTER_S1_017	Streptomyces clavuligerus ATCC 27064	HWANG2021_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	Chromosome	CP027858.1	501427	501426	501427	+	5.853431059	N	N	-10.46	0.4300807866618742	33947798	10.1128/mSystems.01013-20	Data Set S1 Sheet1	author TEP position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_017_HWANG2021_TERMSEQ_PUBLISHED_TEP_CP027858-1_minus_501680_r000039	TEP-0038	BATTER_S1_017_HWANG2021_TERMSEQ_CP027858_1_R_000038	TEP-0038	BATTER_S1_017	Streptomyces clavuligerus ATCC 27064	HWANG2021_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	Chromosome	CP027858.1	501680	501679	501680	-	-2.741196456	P	CRV15_01975	-17.05	0.7576981413297742	33947798	10.1128/mSystems.01013-20	Data Set S1 Sheet1	author TEP position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_017_HWANG2021_TERMSEQ_PUBLISHED_TEP_CP027858-1_minus_508964_r000040	TEP-0039	BATTER_S1_017_HWANG2021_TERMSEQ_CP027858_1_R_000039	TEP-0039	BATTER_S1_017	Streptomyces clavuligerus ATCC 27064	HWANG2021_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	Chromosome	CP027858.1	508964	508963	508964	-	-7.586585224	P	CRV15_02005	-16.94	0.6791382596876003	33947798	10.1128/mSystems.01013-20	Data Set S1 Sheet1	author TEP position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_017_HWANG2021_TERMSEQ_PUBLISHED_TEP_CP027858-1_plus_510000_r000041	TEP-0040	BATTER_S1_017_HWANG2021_TERMSEQ_CP027858_1_F_000040	TEP-0040	BATTER_S1_017	Streptomyces clavuligerus ATCC 27064	HWANG2021_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	Chromosome	CP027858.1	510000	509999	510000	+	2.58194542	N	N	-14.06	0.12927112787414002	33947798	10.1128/mSystems.01013-20	Data Set S1 Sheet1	author TEP position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_017_HWANG2021_TERMSEQ_PUBLISHED_TEP_CP027858-1_minus_583950_r000042	TEP-0041	BATTER_S1_017_HWANG2021_TERMSEQ_CP027858_1_R_000041	TEP-0041	BATTER_S1_017	Streptomyces clavuligerus ATCC 27064	HWANG2021_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	Chromosome	CP027858.1	583950	583949	583950	-	-7.515441917	P	CRV15_02350	-26.75	0.254577666397867	33947798	10.1128/mSystems.01013-20	Data Set S1 Sheet1	author TEP position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_017_HWANG2021_TERMSEQ_PUBLISHED_TEP_CP027858-1_plus_634048_r000043	TEP-0042	BATTER_S1_017_HWANG2021_TERMSEQ_CP027858_1_F_000042	TEP-0042	BATTER_S1_017	Streptomyces clavuligerus ATCC 27064	HWANG2021_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	Chromosome	CP027858.1	634048	634047	634048	+	8.169410482	Pre	CRV15_02555	-12.04	0.145398908415146	33947798	10.1128/mSystems.01013-20	Data Set S1 Sheet1	author TEP position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_017_HWANG2021_TERMSEQ_PUBLISHED_TEP_CP027858-1_minus_639390_r000044	TEP-0043	BATTER_S1_017_HWANG2021_TERMSEQ_CP027858_1_R_000043	TEP-0043	BATTER_S1_017	Streptomyces clavuligerus ATCC 27064	HWANG2021_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	Chromosome	CP027858.1	639390	639389	639390	-	-39.64418743	P	CRV15_02570	-13.5	0.030672944529018375	33947798	10.1128/mSystems.01013-20	Data Set S1 Sheet1	author TEP position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_017_HWANG2021_TERMSEQ_PUBLISHED_TEP_CP027858-1_plus_639393_r000045	TEP-0044	BATTER_S1_017_HWANG2021_TERMSEQ_CP027858_1_F_000044	TEP-0044	BATTER_S1_017	Streptomyces clavuligerus ATCC 27064	HWANG2021_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	Chromosome	CP027858.1	639393	639392	639393	+	1.680618089	P	CRV15_02565	-24.73	0.45269570043720697	33947798	10.1128/mSystems.01013-20	Data Set S1 Sheet1	author TEP position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_017_HWANG2021_TERMSEQ_PUBLISHED_TEP_CP027858-1_plus_646664_r000046	TEP-0045	BATTER_S1_017_HWANG2021_TERMSEQ_CP027858_1_F_000045	TEP-0045	BATTER_S1_017	Streptomyces clavuligerus ATCC 27064	HWANG2021_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	Chromosome	CP027858.1	646664	646663	646664	+	11.01567909	P	CRV15_02590	-37.93	0.5285855302654617	33947798	10.1128/mSystems.01013-20	Data Set S1 Sheet1	author TEP position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_017_HWANG2021_TERMSEQ_PUBLISHED_TEP_CP027858-1_minus_664696_r000047	TEP-0046	BATTER_S1_017_HWANG2021_TERMSEQ_CP027858_1_R_000046	TEP-0046	BATTER_S1_017	Streptomyces clavuligerus ATCC 27064	HWANG2021_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	Chromosome	CP027858.1	664696	664695	664696	-	-7.286690383	S	CRV15_02680	-30.35	0.3294219341840905	33947798	10.1128/mSystems.01013-20	Data Set S1 Sheet1	author TEP position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_017_HWANG2021_TERMSEQ_PUBLISHED_TEP_CP027858-1_minus_664742_r000048	TEP-0047	BATTER_S1_017_HWANG2021_TERMSEQ_CP027858_1_R_000047	TEP-0047	BATTER_S1_017	Streptomyces clavuligerus ATCC 27064	HWANG2021_TERMSEQ_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	Chromosome	CP027858.1	664742	664741	664742	-	-13.31305128	P	CRV15_02680	-29.75	0.3257480973445807	33947798	10.1128/mSystems.01013-20	Data Set S1 Sheet1	author TEP position treated as 1-based; BED start=Position-1
