end_id	source_record_id	source_end_id	source_id	species	sample_id	assay	evidence_class	reference_name	biological_coordinate_1based	bed_start_0based	bed_end_0based	strand	gene_upstream	pmid	doi	source_table	coordinate_interpretation
BTED_BATTER_S1_020_E-MTAB-10482_PUBLISHED_TTS_NC_014500-1_plus_82964_r000012	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_F_000011	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_F_000011	BATTER_S1_020	Dickeya dadantii 3937	E-MTAB-10482_PUBLISHED_TTS	Nanopore native RNA-seq	author_called_nanopore_native_rna_3prime_end	NC_014500.1	82964	82963	82964	+	uspA	35491820	10.1128/mbio.00524-22	Supplementary Table S2D	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_020_E-MTAB-10482_PUBLISHED_TTS_NC_014500-1_minus_89819_r000013	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_R_000012	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_R_000012	BATTER_S1_020	Dickeya dadantii 3937	E-MTAB-10482_PUBLISHED_TTS	Nanopore native RNA-seq	author_called_nanopore_native_rna_3prime_end	NC_014500.1	89819	89818	89819	-	ybiJ	35491820	10.1128/mbio.00524-22	Supplementary Table S2D	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_020_E-MTAB-10482_PUBLISHED_TTS_NC_014500-1_plus_101230_r000014	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_F_000013	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_F_000013	BATTER_S1_020	Dickeya dadantii 3937	E-MTAB-10482_PUBLISHED_TTS	Nanopore native RNA-seq	author_called_nanopore_native_rna_3prime_end	NC_014500.1	101230	101229	101230	+	ibpA	35491820	10.1128/mbio.00524-22	Supplementary Table S2D	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_020_E-MTAB-10482_PUBLISHED_TTS_NC_014500-1_plus_101795_r000015	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_F_000014	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_F_000014	BATTER_S1_020	Dickeya dadantii 3937	E-MTAB-10482_PUBLISHED_TTS	Nanopore native RNA-seq	author_called_nanopore_native_rna_3prime_end	NC_014500.1	101795	101794	101795	+	ibpB	35491820	10.1128/mbio.00524-22	Supplementary Table S2D	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_020_E-MTAB-10482_PUBLISHED_TTS_NC_014500-1_plus_106385_r000016	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_F_000015	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_F_000015	BATTER_S1_020	Dickeya dadantii 3937	E-MTAB-10482_PUBLISHED_TTS	Nanopore native RNA-seq	author_called_nanopore_native_rna_3prime_end	NC_014500.1	106385	106384	106385	+	dcuR	35491820	10.1128/mbio.00524-22	Supplementary Table S2D	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_020_E-MTAB-10482_PUBLISHED_TTS_NC_014500-1_plus_110737_r000017	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_F_000016	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_F_000016	BATTER_S1_020	Dickeya dadantii 3937	E-MTAB-10482_PUBLISHED_TTS	Nanopore native RNA-seq	author_called_nanopore_native_rna_3prime_end	NC_014500.1	110737	110736	110737	+	dppA	35491820	10.1128/mbio.00524-22	Supplementary Table S2D	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_020_E-MTAB-10482_PUBLISHED_TTS_NC_014500-1_minus_114893_r000018	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_R_000017	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_R_000017	BATTER_S1_020	Dickeya dadantii 3937	E-MTAB-10482_PUBLISHED_TTS	Nanopore native RNA-seq	author_called_nanopore_native_rna_3prime_end	NC_014500.1	114893	114892	114893	-	Dda3937_01980	35491820	10.1128/mbio.00524-22	Supplementary Table S2D	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_020_E-MTAB-10482_PUBLISHED_TTS_NC_014500-1_plus_135556_r000019	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_F_000018	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_F_000018	BATTER_S1_020	Dickeya dadantii 3937	E-MTAB-10482_PUBLISHED_TTS	Nanopore native RNA-seq	author_called_nanopore_native_rna_3prime_end	NC_014500.1	135556	135555	135556	+	yhjJ	35491820	10.1128/mbio.00524-22	Supplementary Table S2D	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_020_E-MTAB-10482_PUBLISHED_TTS_NC_014500-1_minus_138174_r000020	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_R_000019	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_R_000019	BATTER_S1_020	Dickeya dadantii 3937	E-MTAB-10482_PUBLISHED_TTS	Nanopore native RNA-seq	author_called_nanopore_native_rna_3prime_end	NC_014500.1	138174	138173	138174	-	kdgK	35491820	10.1128/mbio.00524-22	Supplementary Table S2D	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_020_E-MTAB-10482_PUBLISHED_TTS_NC_014500-1_minus_139283_r000021	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_R_000020	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_R_000020	BATTER_S1_020	Dickeya dadantii 3937	E-MTAB-10482_PUBLISHED_TTS	Nanopore native RNA-seq	author_called_nanopore_native_rna_3prime_end	NC_014500.1	139283	139282	139283	-	Dda3937_02002	35491820	10.1128/mbio.00524-22	Supplementary Table S2D	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_020_E-MTAB-10482_PUBLISHED_TTS_NC_014500-1_minus_142018_r000022	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_R_000021	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_R_000021	BATTER_S1_020	Dickeya dadantii 3937	E-MTAB-10482_PUBLISHED_TTS	Nanopore native RNA-seq	author_called_nanopore_native_rna_3prime_end	NC_014500.1	142018	142017	142018	-	dcrB	35491820	10.1128/mbio.00524-22	Supplementary Table S2D	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_020_E-MTAB-10482_PUBLISHED_TTS_NC_014500-1_minus_145659_r000023	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_R_000022	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_R_000022	BATTER_S1_020	Dickeya dadantii 3937	E-MTAB-10482_PUBLISHED_TTS	Nanopore native RNA-seq	author_called_nanopore_native_rna_3prime_end	NC_014500.1	145659	145658	145659	-	yhhL	35491820	10.1128/mbio.00524-22	Supplementary Table S2D	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_020_E-MTAB-10482_PUBLISHED_TTS_NC_014500-1_minus_151151_r000024	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_R_000023	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_R_000023	BATTER_S1_020	Dickeya dadantii 3937	E-MTAB-10482_PUBLISHED_TTS	Nanopore native RNA-seq	author_called_nanopore_native_rna_3prime_end	NC_014500.1	151151	151150	151151	-	yhhK	35491820	10.1128/mbio.00524-22	Supplementary Table S2D	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_020_E-MTAB-10482_PUBLISHED_TTS_NC_014500-1_plus_151185_r000025	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_F_000024	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_F_000024	BATTER_S1_020	Dickeya dadantii 3937	E-MTAB-10482_PUBLISHED_TTS	Nanopore native RNA-seq	author_called_nanopore_native_rna_3prime_end	NC_014500.1	151185	151184	151185	+	rpoH	35491820	10.1128/mbio.00524-22	Supplementary Table S2D	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_020_E-MTAB-10482_PUBLISHED_TTS_NC_014500-1_plus_153256_r000026	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_F_000025	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_F_000025	BATTER_S1_020	Dickeya dadantii 3937	E-MTAB-10482_PUBLISHED_TTS	Nanopore native RNA-seq	author_called_nanopore_native_rna_3prime_end	NC_014500.1	153256	153255	153256	+	livK	35491820	10.1128/mbio.00524-22	Supplementary Table S2D	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_020_E-MTAB-10482_PUBLISHED_TTS_NC_014500-1_plus_156976_r000027	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_F_000026	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_F_000026	BATTER_S1_020	Dickeya dadantii 3937	E-MTAB-10482_PUBLISHED_TTS	Nanopore native RNA-seq	author_called_nanopore_native_rna_3prime_end	NC_014500.1	156976	156975	156976	+	livF	35491820	10.1128/mbio.00524-22	Supplementary Table S2D	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_020_E-MTAB-10482_PUBLISHED_TTS_NC_014500-1_plus_161718_r000028	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_F_000027	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_F_000027	BATTER_S1_020	Dickeya dadantii 3937	E-MTAB-10482_PUBLISHED_TTS	Nanopore native RNA-seq	author_called_nanopore_native_rna_3prime_end	NC_014500.1	161718	161717	161718	+	Dda3937_02024	35491820	10.1128/mbio.00524-22	Supplementary Table S2D	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_020_E-MTAB-10482_PUBLISHED_TTS_NC_014500-1_minus_168333_r000029	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_R_000028	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_R_000028	BATTER_S1_020	Dickeya dadantii 3937	E-MTAB-10482_PUBLISHED_TTS	Nanopore native RNA-seq	author_called_nanopore_native_rna_3prime_end	NC_014500.1	168333	168332	168333	-	Dda3937_02028	35491820	10.1128/mbio.00524-22	Supplementary Table S2D	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_020_E-MTAB-10482_PUBLISHED_TTS_NC_014500-1_minus_177300_r000030	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_R_000029	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_R_000029	BATTER_S1_020	Dickeya dadantii 3937	E-MTAB-10482_PUBLISHED_TTS	Nanopore native RNA-seq	author_called_nanopore_native_rna_3prime_end	NC_014500.1	177300	177299	177300	-	yhhA	35491820	10.1128/mbio.00524-22	Supplementary Table S2D	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_020_E-MTAB-10482_PUBLISHED_TTS_NC_014500-1_minus_182113_r000031	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_R_000030	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_R_000030	BATTER_S1_020	Dickeya dadantii 3937	E-MTAB-10482_PUBLISHED_TTS	Nanopore native RNA-seq	author_called_nanopore_native_rna_3prime_end	NC_014500.1	182113	182112	182113	-	cpxA	35491820	10.1128/mbio.00524-22	Supplementary Table S2D	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_020_E-MTAB-10482_PUBLISHED_TTS_NC_014500-1_minus_183495_r000032	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_R_000031	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_R_000031	BATTER_S1_020	Dickeya dadantii 3937	E-MTAB-10482_PUBLISHED_TTS	Nanopore native RNA-seq	author_called_nanopore_native_rna_3prime_end	NC_014500.1	183495	183494	183495	-	cpxR	35491820	10.1128/mbio.00524-22	Supplementary Table S2D	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_020_E-MTAB-10482_PUBLISHED_TTS_NC_014500-1_plus_196899_r000033	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_F_000032	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_F_000032	BATTER_S1_020	Dickeya dadantii 3937	E-MTAB-10482_PUBLISHED_TTS	Nanopore native RNA-seq	author_called_nanopore_native_rna_3prime_end	NC_014500.1	196899	196898	196899	+	pfkA	35491820	10.1128/mbio.00524-22	Supplementary Table S2D	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_020_E-MTAB-10482_PUBLISHED_TTS_NC_014500-1_minus_200806_r000034	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_R_000033	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_R_000033	BATTER_S1_020	Dickeya dadantii 3937	E-MTAB-10482_PUBLISHED_TTS	Nanopore native RNA-seq	author_called_nanopore_native_rna_3prime_end	NC_014500.1	200806	200805	200806	-	tpiA	35491820	10.1128/mbio.00524-22	Supplementary Table S2D	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_020_E-MTAB-10482_PUBLISHED_TTS_NC_014500-1_minus_202891_r000035	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_R_000034	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_R_000034	BATTER_S1_020	Dickeya dadantii 3937	E-MTAB-10482_PUBLISHED_TTS	Nanopore native RNA-seq	author_called_nanopore_native_rna_3prime_end	NC_014500.1	202891	202890	202891	-	fpr	35491820	10.1128/mbio.00524-22	Supplementary Table S2D	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_020_E-MTAB-10482_PUBLISHED_TTS_NC_014500-1_minus_208187_r000036	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_R_000035	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_R_000035	BATTER_S1_020	Dickeya dadantii 3937	E-MTAB-10482_PUBLISHED_TTS	Nanopore native RNA-seq	author_called_nanopore_native_rna_3prime_end	NC_014500.1	208187	208186	208187	-	rraA	35491820	10.1128/mbio.00524-22	Supplementary Table S2D	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_020_E-MTAB-10482_PUBLISHED_TTS_NC_014500-1_minus_209887_r000037	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_R_000036	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_R_000036	BATTER_S1_020	Dickeya dadantii 3937	E-MTAB-10482_PUBLISHED_TTS	Nanopore native RNA-seq	author_called_nanopore_native_rna_3prime_end	NC_014500.1	209887	209886	209887	-	hslU	35491820	10.1128/mbio.00524-22	Supplementary Table S2D	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_020_E-MTAB-10482_PUBLISHED_TTS_NC_014500-1_minus_217127_r000038	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_R_000037	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_R_000037	BATTER_S1_020	Dickeya dadantii 3937	E-MTAB-10482_PUBLISHED_TTS	Nanopore native RNA-seq	author_called_nanopore_native_rna_3prime_end	NC_014500.1	217127	217126	217127	-	metJ	35491820	10.1128/mbio.00524-22	Supplementary Table S2D	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_020_E-MTAB-10482_PUBLISHED_TTS_NC_014500-1_plus_217153_r000039	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_F_000038	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_F_000038	BATTER_S1_020	Dickeya dadantii 3937	E-MTAB-10482_PUBLISHED_TTS	Nanopore native RNA-seq	author_called_nanopore_native_rna_3prime_end	NC_014500.1	217153	217152	217153	+	rpmE	35491820	10.1128/mbio.00524-22	Supplementary Table S2D	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_020_E-MTAB-10482_PUBLISHED_TTS_NC_014500-1_plus_221366_r000040	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_F_000039	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_F_000039	BATTER_S1_020	Dickeya dadantii 3937	E-MTAB-10482_PUBLISHED_TTS	Nanopore native RNA-seq	author_called_nanopore_native_rna_3prime_end	NC_014500.1	221366	221365	221366	+	metL	35491820	10.1128/mbio.00524-22	Supplementary Table S2D	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_020_E-MTAB-10482_PUBLISHED_TTS_NC_014500-1_plus_222597_r000041	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_F_000040	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_F_000040	BATTER_S1_020	Dickeya dadantii 3937	E-MTAB-10482_PUBLISHED_TTS	Nanopore native RNA-seq	author_called_nanopore_native_rna_3prime_end	NC_014500.1	222597	222596	222597	+	metF	35491820	10.1128/mbio.00524-22	Supplementary Table S2D	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_020_E-MTAB-10482_PUBLISHED_TTS_NC_014500-1_minus_222669_r000042	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_R_000041	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_R_000041	BATTER_S1_020	Dickeya dadantii 3937	E-MTAB-10482_PUBLISHED_TTS	Nanopore native RNA-seq	author_called_nanopore_native_rna_3prime_end	NC_014500.1	222669	222668	222669	-	Dda3937_03891	35491820	10.1128/mbio.00524-22	Supplementary Table S2D	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_020_E-MTAB-10482_PUBLISHED_TTS_NC_014500-1_minus_224617_r000043	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_R_000042	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_R_000042	BATTER_S1_020	Dickeya dadantii 3937	E-MTAB-10482_PUBLISHED_TTS	Nanopore native RNA-seq	author_called_nanopore_native_rna_3prime_end	NC_014500.1	224617	224616	224617	-	sthA	35491820	10.1128/mbio.00524-22	Supplementary Table S2D	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_020_E-MTAB-10482_PUBLISHED_TTS_NC_014500-1_plus_230710_r000044	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_F_000043	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_F_000043	BATTER_S1_020	Dickeya dadantii 3937	E-MTAB-10482_PUBLISHED_TTS	Nanopore native RNA-seq	author_called_nanopore_native_rna_3prime_end	NC_014500.1	230710	230709	230710	+	btuB	35491820	10.1128/mbio.00524-22	Supplementary Table S2D	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_020_E-MTAB-10482_PUBLISHED_TTS_NC_014500-1_minus_239110_r000045	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_R_000044	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_R_000044	BATTER_S1_020	Dickeya dadantii 3937	E-MTAB-10482_PUBLISHED_TTS	Nanopore native RNA-seq	author_called_nanopore_native_rna_3prime_end	NC_014500.1	239110	239109	239110	-	coaA	35491820	10.1128/mbio.00524-22	Supplementary Table S2D	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_020_E-MTAB-10482_PUBLISHED_TTS_NC_014500-1_plus_243214_r000046	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_F_000045	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_F_000045	BATTER_S1_020	Dickeya dadantii 3937	E-MTAB-10482_PUBLISHED_TTS	Nanopore native RNA-seq	author_called_nanopore_native_rna_3prime_end	NC_014500.1	243214	243213	243214	+	tufB	35491820	10.1128/mbio.00524-22	Supplementary Table S2D	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_020_E-MTAB-10482_PUBLISHED_TTS_NC_014500-1_plus_244383_r000047	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_F_000046	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_F_000046	BATTER_S1_020	Dickeya dadantii 3937	E-MTAB-10482_PUBLISHED_TTS	Nanopore native RNA-seq	author_called_nanopore_native_rna_3prime_end	NC_014500.1	244383	244382	244383	+	nusG	35491820	10.1128/mbio.00524-22	Supplementary Table S2D	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_020_E-MTAB-10482_PUBLISHED_TTS_NC_014500-1_plus_244922_r000048	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_F_000047	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_F_000047	BATTER_S1_020	Dickeya dadantii 3937	E-MTAB-10482_PUBLISHED_TTS	Nanopore native RNA-seq	author_called_nanopore_native_rna_3prime_end	NC_014500.1	244922	244921	244922	+	rplK	35491820	10.1128/mbio.00524-22	Supplementary Table S2D	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_020_E-MTAB-10482_PUBLISHED_TTS_NC_014500-1_plus_245670_r000049	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_F_000048	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_F_000048	BATTER_S1_020	Dickeya dadantii 3937	E-MTAB-10482_PUBLISHED_TTS	Nanopore native RNA-seq	author_called_nanopore_native_rna_3prime_end	NC_014500.1	245670	245669	245670	+	rplA	35491820	10.1128/mbio.00524-22	Supplementary Table S2D	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_020_E-MTAB-10482_PUBLISHED_TTS_NC_014500-1_plus_246517_r000050	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_F_000049	BATTER_S1_020_FORQUET2022_NANOPORE_NC_014500_1_F_000049	BATTER_S1_020	Dickeya dadantii 3937	E-MTAB-10482_PUBLISHED_TTS	Nanopore native RNA-seq	author_called_nanopore_native_rna_3prime_end	NC_014500.1	246517	246516	246517	+	rplJ	35491820	10.1128/mbio.00524-22	Supplementary Table S2D	author position treated as 1-based; BED start=position-1
