end_id	source_record_id	source_end_id	author_tep_id	source_id	species	sample_id	assay	evidence_class	published_reference_accession	reference_name	biological_coordinate_1based	bed_start_0based	bed_end_0based	strand	category	associated_gene	pmid	doi	source_table	coordinate_interpretation
BTED_BATTER_S1_018_BATTER_S1_018_PUBLISHED_TEP_CP054306-1_plus_102005_r000019	TEP-018	BATTER_S1_018_2021_TERMSEQ_CP054306_1_F_000018	TEP-018	BATTER_S1_018	Synechocystis sp. PCC 7338	BATTER_S1_018_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP054306	CP054306.1	102005	102004	102005	+	P	tRNA4-Arg	34054774	10.3389/fmicb.2021.667450	Supplementary Data S2	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_018_BATTER_S1_018_PUBLISHED_TEP_CP054306-1_minus_105459_r000020	TEP-019	BATTER_S1_018_2021_TERMSEQ_CP054306_1_R_000019	TEP-019	BATTER_S1_018	Synechocystis sp. PCC 7338	BATTER_S1_018_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP054306	CP054306.1	105459	105458	105459	-	P	HTZ78_00605	34054774	10.3389/fmicb.2021.667450	Supplementary Data S2	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_018_BATTER_S1_018_PUBLISHED_TEP_CP054306-1_plus_109697_r000021	TEP-020	BATTER_S1_018_2021_TERMSEQ_CP054306_1_F_000020	TEP-020	BATTER_S1_018	Synechocystis sp. PCC 7338	BATTER_S1_018_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP054306	CP054306.1	109697	109696	109697	+	P	HTZ78_00620	34054774	10.3389/fmicb.2021.667450	Supplementary Data S2	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_018_BATTER_S1_018_PUBLISHED_TEP_CP054306-1_minus_110423_r000022	TEP-021	BATTER_S1_018_2021_TERMSEQ_CP054306_1_R_000021	TEP-021	BATTER_S1_018	Synechocystis sp. PCC 7338	BATTER_S1_018_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP054306	CP054306.1	110423	110422	110423	-	P	HTZ78_00640	34054774	10.3389/fmicb.2021.667450	Supplementary Data S2	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_018_BATTER_S1_018_PUBLISHED_TEP_CP054306-1_minus_120887_r000023	TEP-022	BATTER_S1_018_2021_TERMSEQ_CP054306_1_R_000022	TEP-022	BATTER_S1_018	Synechocystis sp. PCC 7338	BATTER_S1_018_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP054306	CP054306.1	120887	120886	120887	-	P	tRNA5-Gly	34054774	10.3389/fmicb.2021.667450	Supplementary Data S2	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_018_BATTER_S1_018_PUBLISHED_TEP_CP054306-1_minus_128273_r000024	TEP-023	BATTER_S1_018_2021_TERMSEQ_CP054306_1_R_000023	TEP-023	BATTER_S1_018	Synechocystis sp. PCC 7338	BATTER_S1_018_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP054306	CP054306.1	128273	128272	128273	-	P	HTZ78_00720	34054774	10.3389/fmicb.2021.667450	Supplementary Data S2	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_018_BATTER_S1_018_PUBLISHED_TEP_CP054306-1_minus_130680_r000025	TEP-024	BATTER_S1_018_2021_TERMSEQ_CP054306_1_R_000024	TEP-024	BATTER_S1_018	Synechocystis sp. PCC 7338	BATTER_S1_018_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP054306	CP054306.1	130680	130679	130680	-	P	HTZ78_00735	34054774	10.3389/fmicb.2021.667450	Supplementary Data S2	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_018_BATTER_S1_018_PUBLISHED_TEP_CP054306-1_minus_134749_r000026	TEP-025	BATTER_S1_018_2021_TERMSEQ_CP054306_1_R_000025	TEP-025	BATTER_S1_018	Synechocystis sp. PCC 7338	BATTER_S1_018_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP054306	CP054306.1	134749	134748	134749	-	P	HTZ78_00755	34054774	10.3389/fmicb.2021.667450	Supplementary Data S2	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_018_BATTER_S1_018_PUBLISHED_TEP_CP054306-1_minus_137800_r000027	TEP-026	BATTER_S1_018_2021_TERMSEQ_CP054306_1_R_000026	TEP-026	BATTER_S1_018	Synechocystis sp. PCC 7338	BATTER_S1_018_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP054306	CP054306.1	137800	137799	137800	-	S	HTZ78_00765	34054774	10.3389/fmicb.2021.667450	Supplementary Data S2	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_018_BATTER_S1_018_PUBLISHED_TEP_CP054306-1_minus_137934_r000028	TEP-027	BATTER_S1_018_2021_TERMSEQ_CP054306_1_R_000027	TEP-027	BATTER_S1_018	Synechocystis sp. PCC 7338	BATTER_S1_018_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP054306	CP054306.1	137934	137933	137934	-	P	HTZ78_00765	34054774	10.3389/fmicb.2021.667450	Supplementary Data S2	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_018_BATTER_S1_018_PUBLISHED_TEP_CP054306-1_plus_138343_r000029	TEP-028	BATTER_S1_018_2021_TERMSEQ_CP054306_1_F_000028	TEP-028	BATTER_S1_018	Synechocystis sp. PCC 7338	BATTER_S1_018_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP054306	CP054306.1	138343	138342	138343	+	P	HTZ78_00760	34054774	10.3389/fmicb.2021.667450	Supplementary Data S2	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_018_BATTER_S1_018_PUBLISHED_TEP_CP054306-1_plus_138692_r000030	TEP-029	BATTER_S1_018_2021_TERMSEQ_CP054306_1_F_000029	TEP-029	BATTER_S1_018	Synechocystis sp. PCC 7338	BATTER_S1_018_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP054306	CP054306.1	138692	138691	138692	+	S	HTZ78_00760	34054774	10.3389/fmicb.2021.667450	Supplementary Data S2	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_018_BATTER_S1_018_PUBLISHED_TEP_CP054306-1_minus_139137_r000031	TEP-030	BATTER_S1_018_2021_TERMSEQ_CP054306_1_R_000030	TEP-030	BATTER_S1_018	Synechocystis sp. PCC 7338	BATTER_S1_018_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP054306	CP054306.1	139137	139136	139137	-	P	HTZ78_00770	34054774	10.3389/fmicb.2021.667450	Supplementary Data S2	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_018_BATTER_S1_018_PUBLISHED_TEP_CP054306-1_plus_141086_r000032	TEP-031	BATTER_S1_018_2021_TERMSEQ_CP054306_1_F_000031	TEP-031	BATTER_S1_018	Synechocystis sp. PCC 7338	BATTER_S1_018_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP054306	CP054306.1	141086	141085	141086	+	A	HTZ78_00780	34054774	10.3389/fmicb.2021.667450	Supplementary Data S2	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_018_BATTER_S1_018_PUBLISHED_TEP_CP054306-1_plus_162892_r000033	TEP-032	BATTER_S1_018_2021_TERMSEQ_CP054306_1_F_000032	TEP-032	BATTER_S1_018	Synechocystis sp. PCC 7338	BATTER_S1_018_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP054306	CP054306.1	162892	162891	162892	+	P	HTZ78_00855	34054774	10.3389/fmicb.2021.667450	Supplementary Data S2	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_018_BATTER_S1_018_PUBLISHED_TEP_CP054306-1_plus_169383_r000034	TEP-033	BATTER_S1_018_2021_TERMSEQ_CP054306_1_F_000033	TEP-033	BATTER_S1_018	Synechocystis sp. PCC 7338	BATTER_S1_018_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP054306	CP054306.1	169383	169382	169383	+	P	HTZ78_00870	34054774	10.3389/fmicb.2021.667450	Supplementary Data S2	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_018_BATTER_S1_018_PUBLISHED_TEP_CP054306-1_minus_178418_r000035	TEP-034	BATTER_S1_018_2021_TERMSEQ_CP054306_1_R_000034	TEP-034	BATTER_S1_018	Synechocystis sp. PCC 7338	BATTER_S1_018_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP054306	CP054306.1	178418	178417	178418	-	P	HTZ78_00935	34054774	10.3389/fmicb.2021.667450	Supplementary Data S2	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_018_BATTER_S1_018_PUBLISHED_TEP_CP054306-1_minus_188347_r000036	TEP-035	BATTER_S1_018_2021_TERMSEQ_CP054306_1_R_000035	TEP-035	BATTER_S1_018	Synechocystis sp. PCC 7338	BATTER_S1_018_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP054306	CP054306.1	188347	188346	188347	-	P	HTZ78_00995	34054774	10.3389/fmicb.2021.667450	Supplementary Data S2	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_018_BATTER_S1_018_PUBLISHED_TEP_CP054306-1_minus_190242_r000037	TEP-036	BATTER_S1_018_2021_TERMSEQ_CP054306_1_R_000036	TEP-036	BATTER_S1_018	Synechocystis sp. PCC 7338	BATTER_S1_018_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP054306	CP054306.1	190242	190241	190242	-	I	HTZ78_01005	34054774	10.3389/fmicb.2021.667450	Supplementary Data S2	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_018_BATTER_S1_018_PUBLISHED_TEP_CP054306-1_plus_190373_r000038	TEP-037	BATTER_S1_018_2021_TERMSEQ_CP054306_1_F_000037	TEP-037	BATTER_S1_018	Synechocystis sp. PCC 7338	BATTER_S1_018_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP054306	CP054306.1	190373	190372	190373	+	U	HTZ78_01010	34054774	10.3389/fmicb.2021.667450	Supplementary Data S2	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_018_BATTER_S1_018_PUBLISHED_TEP_CP054306-1_plus_206761_r000039	TEP-038	BATTER_S1_018_2021_TERMSEQ_CP054306_1_F_000038	TEP-038	BATTER_S1_018	Synechocystis sp. PCC 7338	BATTER_S1_018_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP054306	CP054306.1	206761	206760	206761	+	P	HTZ78_01085	34054774	10.3389/fmicb.2021.667450	Supplementary Data S2	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_018_BATTER_S1_018_PUBLISHED_TEP_CP054306-1_plus_209784_r000040	TEP-039	BATTER_S1_018_2021_TERMSEQ_CP054306_1_F_000039	TEP-039	BATTER_S1_018	Synechocystis sp. PCC 7338	BATTER_S1_018_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP054306	CP054306.1	209784	209783	209784	+	N	-	34054774	10.3389/fmicb.2021.667450	Supplementary Data S2	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_018_BATTER_S1_018_PUBLISHED_TEP_CP054306-1_minus_216826_r000041	TEP-040	BATTER_S1_018_2021_TERMSEQ_CP054306_1_R_000040	TEP-040	BATTER_S1_018	Synechocystis sp. PCC 7338	BATTER_S1_018_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP054306	CP054306.1	216826	216825	216826	-	N	-	34054774	10.3389/fmicb.2021.667450	Supplementary Data S2	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_018_BATTER_S1_018_PUBLISHED_TEP_CP054306-1_plus_217108_r000042	TEP-041	BATTER_S1_018_2021_TERMSEQ_CP054306_1_F_000041	TEP-041	BATTER_S1_018	Synechocystis sp. PCC 7338	BATTER_S1_018_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP054306	CP054306.1	217108	217107	217108	+	N	-	34054774	10.3389/fmicb.2021.667450	Supplementary Data S2	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_018_BATTER_S1_018_PUBLISHED_TEP_CP054306-1_minus_240721_r000043	TEP-042	BATTER_S1_018_2021_TERMSEQ_CP054306_1_R_000042	TEP-042	BATTER_S1_018	Synechocystis sp. PCC 7338	BATTER_S1_018_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP054306	CP054306.1	240721	240720	240721	-	P	tRNA8-Pro	34054774	10.3389/fmicb.2021.667450	Supplementary Data S2	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_018_BATTER_S1_018_PUBLISHED_TEP_CP054306-1_plus_245036_r000044	TEP-043	BATTER_S1_018_2021_TERMSEQ_CP054306_1_F_000043	TEP-043	BATTER_S1_018	Synechocystis sp. PCC 7338	BATTER_S1_018_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP054306	CP054306.1	245036	245035	245036	+	P	HTZ78_01265	34054774	10.3389/fmicb.2021.667450	Supplementary Data S2	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_018_BATTER_S1_018_PUBLISHED_TEP_CP054306-1_minus_247051_r000045	TEP-044	BATTER_S1_018_2021_TERMSEQ_CP054306_1_R_000044	TEP-044	BATTER_S1_018	Synechocystis sp. PCC 7338	BATTER_S1_018_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP054306	CP054306.1	247051	247050	247051	-	N	-	34054774	10.3389/fmicb.2021.667450	Supplementary Data S2	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_018_BATTER_S1_018_PUBLISHED_TEP_CP054306-1_plus_256951_r000046	TEP-045	BATTER_S1_018_2021_TERMSEQ_CP054306_1_F_000045	TEP-045	BATTER_S1_018	Synechocystis sp. PCC 7338	BATTER_S1_018_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP054306	CP054306.1	256951	256950	256951	+	P	HTZ78_01310	34054774	10.3389/fmicb.2021.667450	Supplementary Data S2	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_018_BATTER_S1_018_PUBLISHED_TEP_CP054306-1_minus_268301_r000047	TEP-046	BATTER_S1_018_2021_TERMSEQ_CP054306_1_R_000046	TEP-046	BATTER_S1_018	Synechocystis sp. PCC 7338	BATTER_S1_018_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP054306	CP054306.1	268301	268300	268301	-	P	HTZ78_01370	34054774	10.3389/fmicb.2021.667450	Supplementary Data S2	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_018_BATTER_S1_018_PUBLISHED_TEP_CP054306-1_minus_274466_r000048	TEP-047	BATTER_S1_018_2021_TERMSEQ_CP054306_1_R_000047	TEP-047	BATTER_S1_018	Synechocystis sp. PCC 7338	BATTER_S1_018_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP054306	CP054306.1	274466	274465	274466	-	P	HTZ78_01390	34054774	10.3389/fmicb.2021.667450	Supplementary Data S2	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_018_BATTER_S1_018_PUBLISHED_TEP_CP054306-1_plus_277345_r000049	TEP-048	BATTER_S1_018_2021_TERMSEQ_CP054306_1_F_000048	TEP-048	BATTER_S1_018	Synechocystis sp. PCC 7338	BATTER_S1_018_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP054306	CP054306.1	277345	277344	277345	+	S	HTZ78_01400	34054774	10.3389/fmicb.2021.667450	Supplementary Data S2	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_018_BATTER_S1_018_PUBLISHED_TEP_CP054306-1_plus_277383_r000050	TEP-049	BATTER_S1_018_2021_TERMSEQ_CP054306_1_F_000049	TEP-049	BATTER_S1_018	Synechocystis sp. PCC 7338	BATTER_S1_018_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP054306	CP054306.1	277383	277382	277383	+	P	HTZ78_01400	34054774	10.3389/fmicb.2021.667450	Supplementary Data S2	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_018_BATTER_S1_018_PUBLISHED_TEP_CP054306-1_plus_302118_r000051	TEP-050	BATTER_S1_018_2021_TERMSEQ_CP054306_1_F_000050	TEP-050	BATTER_S1_018	Synechocystis sp. PCC 7338	BATTER_S1_018_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP054306	CP054306.1	302118	302117	302118	+	P	HTZ78_01515	34054774	10.3389/fmicb.2021.667450	Supplementary Data S2	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_018_BATTER_S1_018_PUBLISHED_TEP_CP054306-1_minus_303960_r000052	TEP-051	BATTER_S1_018_2021_TERMSEQ_CP054306_1_R_000051	TEP-051	BATTER_S1_018	Synechocystis sp. PCC 7338	BATTER_S1_018_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP054306	CP054306.1	303960	303959	303960	-	P	HTZ78_01525	34054774	10.3389/fmicb.2021.667450	Supplementary Data S2	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_018_BATTER_S1_018_PUBLISHED_TEP_CP054306-1_minus_326608_r000053	TEP-052	BATTER_S1_018_2021_TERMSEQ_CP054306_1_R_000052	TEP-052	BATTER_S1_018	Synechocystis sp. PCC 7338	BATTER_S1_018_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP054306	CP054306.1	326608	326607	326608	-	P	HTZ78_01640	34054774	10.3389/fmicb.2021.667450	Supplementary Data S2	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_018_BATTER_S1_018_PUBLISHED_TEP_CP054306-1_minus_333221_r000054	TEP-053	BATTER_S1_018_2021_TERMSEQ_CP054306_1_R_000053	TEP-053	BATTER_S1_018	Synechocystis sp. PCC 7338	BATTER_S1_018_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP054306	CP054306.1	333221	333220	333221	-	P	HTZ78_01675	34054774	10.3389/fmicb.2021.667450	Supplementary Data S2	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_018_BATTER_S1_018_PUBLISHED_TEP_CP054306-1_minus_334504_r000055	TEP-054	BATTER_S1_018_2021_TERMSEQ_CP054306_1_R_000054	TEP-054	BATTER_S1_018	Synechocystis sp. PCC 7338	BATTER_S1_018_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP054306	CP054306.1	334504	334503	334504	-	U	HTZ78_01680	34054774	10.3389/fmicb.2021.667450	Supplementary Data S2	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_018_BATTER_S1_018_PUBLISHED_TEP_CP054306-1_plus_336516_r000056	TEP-055	BATTER_S1_018_2021_TERMSEQ_CP054306_1_F_000055	TEP-055	BATTER_S1_018	Synechocystis sp. PCC 7338	BATTER_S1_018_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP054306	CP054306.1	336516	336515	336516	+	S	HTZ78_01690	34054774	10.3389/fmicb.2021.667450	Supplementary Data S2	author Position treated as 1-based; BED start=Position-1
