end_id	source_record_id	site_id	source_id	species	assay	evidence_class	published_replicon	reference_name	biological_coordinate_1based	bed_start_0based	bed_end_0based	strand	observed_log	log_average_read_count	observed_transition_stationary	transition_stationary_average_read_count	log_classification	transition_stationary_classification	terminator_score_log	terminator_score_transition_stationary	metadata_conflict_between_conditions	pmid	doi	source_table	coordinate_interpretation
BTED_BATTER_S1_021_LOG_AND_TRANSITION_STATIONARY_NC_000949-1_plus_19690_r000012	BATTER_S1_021_ADAMS2023_SITE_NC_000949_1_F_19690	BATTER_S1_021_ADAMS2023_SITE_NC_000949_1_F_19690	BATTER_S1_021	Borreliella burgdorferi B31	3-prime RNA-seq	author_called_3prime_rnaseq_end_unique_site	cp32-3	NC_000949.1	19690	19689	19690	+	1	2023.279333	0		internal,		undefined		0	37402717	10.1038/s41467-023-39576-1	Supplementary Data 1: log + TS-stationary	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_021_LOG_AND_TRANSITION_STATIONARY_NC_000949-1_plus_28051_r000013	BATTER_S1_021_ADAMS2023_SITE_NC_000949_1_F_28051	BATTER_S1_021_ADAMS2023_SITE_NC_000949_1_F_28051	BATTER_S1_021	Borreliella burgdorferi B31	3-prime RNA-seq	author_called_3prime_rnaseq_end_unique_site	cp32-3	NC_000949.1	28051	28050	28051	+	0		1	1192.42		orphan		7.57589057692463	0	37402717	10.1038/s41467-023-39576-1	Supplementary Data 1: log + TS-stationary	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_021_LOG_AND_TRANSITION_STATIONARY_NC_000950-1_minus_18707_r000014	BATTER_S1_021_ADAMS2023_SITE_NC_000950_1_R_18707	BATTER_S1_021_ADAMS2023_SITE_NC_000950_1_R_18707	BATTER_S1_021	Borreliella burgdorferi B31	3-prime RNA-seq	author_called_3prime_rnaseq_end_unique_site	cp32-4	NC_000950.1	18707	18706	18707	-	1	1567373.333	1	521206.3333	primary,	primary,	1.15260198974886	1.15260198974886	0	37402717	10.1038/s41467-023-39576-1	Supplementary Data 1: log + TS-stationary	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_021_LOG_AND_TRANSITION_STATIONARY_NC_000950-1_plus_18973_r000015	BATTER_S1_021_ADAMS2023_SITE_NC_000950_1_F_18973	BATTER_S1_021_ADAMS2023_SITE_NC_000950_1_F_18973	BATTER_S1_021	Borreliella burgdorferi B31	3-prime RNA-seq	author_called_3prime_rnaseq_end_unique_site	cp32-4	NC_000950.1	18973	18972	18973	+	1	2481.04	1	1318.186667	internal,	internal,	1.51202392388294	1.51202392388294	0	37402717	10.1038/s41467-023-39576-1	Supplementary Data 1: log + TS-stationary	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_021_LOG_AND_TRANSITION_STATIONARY_NC_000950-1_plus_24335_r000016	BATTER_S1_021_ADAMS2023_SITE_NC_000950_1_F_24335	BATTER_S1_021_ADAMS2023_SITE_NC_000950_1_F_24335	BATTER_S1_021	Borreliella burgdorferi B31	3-prime RNA-seq	author_called_3prime_rnaseq_end_unique_site	cp32-4	NC_000950.1	24335	24334	24335	+	0		1	606.2226667		internal,		1.24556336435954	0	37402717	10.1038/s41467-023-39576-1	Supplementary Data 1: log + TS-stationary	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_021_LOG_AND_TRANSITION_STATIONARY_NC_000951-1_minus_16515_r000017	BATTER_S1_021_ADAMS2023_SITE_NC_000951_1_R_16515	BATTER_S1_021_ADAMS2023_SITE_NC_000951_1_R_16515	BATTER_S1_021	Borreliella burgdorferi B31	3-prime RNA-seq	author_called_3prime_rnaseq_end_unique_site	cp32-6	NC_000951.1	16515	16514	16515	-	0		1	1199.470667		primary,		4.64927402101236	0	37402717	10.1038/s41467-023-39576-1	Supplementary Data 1: log + TS-stationary	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_021_LOG_AND_TRANSITION_STATIONARY_NC_000951-1_plus_16569_r000018	BATTER_S1_021_ADAMS2023_SITE_NC_000951_1_F_16569	BATTER_S1_021_ADAMS2023_SITE_NC_000951_1_F_16569	BATTER_S1_021	Borreliella burgdorferi B31	3-prime RNA-seq	author_called_3prime_rnaseq_end_unique_site	cp32-6	NC_000951.1	16569	16568	16569	+	1	2135.49	1	3735.91	antisense,	antisense,	5.19457648746753	5.19457648746753	0	37402717	10.1038/s41467-023-39576-1	Supplementary Data 1: log + TS-stationary	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_021_LOG_AND_TRANSITION_STATIONARY_NC_000951-1_minus_18817_r000019	BATTER_S1_021_ADAMS2023_SITE_NC_000951_1_R_18817	BATTER_S1_021_ADAMS2023_SITE_NC_000951_1_R_18817	BATTER_S1_021	Borreliella burgdorferi B31	3-prime RNA-seq	author_called_3prime_rnaseq_end_unique_site	cp32-6	NC_000951.1	18817	18816	18817	-	1	36352.36667	1	168639.6667	primary,	primary,	1.00563383566745	1.00563383566745	0	37402717	10.1038/s41467-023-39576-1	Supplementary Data 1: log + TS-stationary	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_021_LOG_AND_TRANSITION_STATIONARY_NC_000951-1_plus_19212_r000020	BATTER_S1_021_ADAMS2023_SITE_NC_000951_1_F_19212	BATTER_S1_021_ADAMS2023_SITE_NC_000951_1_F_19212	BATTER_S1_021	Borreliella burgdorferi B31	3-prime RNA-seq	author_called_3prime_rnaseq_end_unique_site	cp32-6	NC_000951.1	19212	19211	19212	+	1	2555.423333	0		internal,		undefined		0	37402717	10.1038/s41467-023-39576-1	Supplementary Data 1: log + TS-stationary	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_021_LOG_AND_TRANSITION_STATIONARY_NC_000951-1_plus_21514_r000021	BATTER_S1_021_ADAMS2023_SITE_NC_000951_1_F_21514	BATTER_S1_021_ADAMS2023_SITE_NC_000951_1_F_21514	BATTER_S1_021	Borreliella burgdorferi B31	3-prime RNA-seq	author_called_3prime_rnaseq_end_unique_site	cp32-6	NC_000951.1	21514	21513	21514	+	0		1	1278.643667		primary,		7.54848344714344	0	37402717	10.1038/s41467-023-39576-1	Supplementary Data 1: log + TS-stationary	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_021_LOG_AND_TRANSITION_STATIONARY_NC_000952-1_plus_12565_r000022	BATTER_S1_021_ADAMS2023_SITE_NC_000952_1_F_12565	BATTER_S1_021_ADAMS2023_SITE_NC_000952_1_F_12565	BATTER_S1_021	Borreliella burgdorferi B31	3-prime RNA-seq	author_called_3prime_rnaseq_end_unique_site	cp32-7	NC_000952.1	12565	12564	12565	+	0		1	557.113		primary, internal,		1.23896035608249	0	37402717	10.1038/s41467-023-39576-1	Supplementary Data 1: log + TS-stationary	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_021_LOG_AND_TRANSITION_STATIONARY_NC_000952-1_plus_17692_r000023	BATTER_S1_021_ADAMS2023_SITE_NC_000952_1_F_17692	BATTER_S1_021_ADAMS2023_SITE_NC_000952_1_F_17692	BATTER_S1_021	Borreliella burgdorferi B31	3-prime RNA-seq	author_called_3prime_rnaseq_end_unique_site	cp32-7	NC_000952.1	17692	17691	17692	+	0		1	3752.276667		primary, antisense,		7.11183235319425	0	37402717	10.1038/s41467-023-39576-1	Supplementary Data 1: log + TS-stationary	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_021_LOG_AND_TRANSITION_STATIONARY_NC_000952-1_minus_18867_r000024	BATTER_S1_021_ADAMS2023_SITE_NC_000952_1_R_18867	BATTER_S1_021_ADAMS2023_SITE_NC_000952_1_R_18867	BATTER_S1_021	Borreliella burgdorferi B31	3-prime RNA-seq	author_called_3prime_rnaseq_end_unique_site	cp32-7	NC_000952.1	18867	18866	18867	-	1	31139.23333	1	174163.3333	primary,	primary,	1.00924034609841	1.00924034609841	0	37402717	10.1038/s41467-023-39576-1	Supplementary Data 1: log + TS-stationary	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_021_LOG_AND_TRANSITION_STATIONARY_NC_000952-1_plus_19123_r000025	BATTER_S1_021_ADAMS2023_SITE_NC_000952_1_F_19123	BATTER_S1_021_ADAMS2023_SITE_NC_000952_1_F_19123	BATTER_S1_021	Borreliella burgdorferi B31	3-prime RNA-seq	author_called_3prime_rnaseq_end_unique_site	cp32-7	NC_000952.1	19123	19122	19123	+	1	1672.129333	0		internal,		1.03756616653144		0	37402717	10.1038/s41467-023-39576-1	Supplementary Data 1: log + TS-stationary	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_021_LOG_AND_TRANSITION_STATIONARY_NC_000952-1_plus_21530_r000026	BATTER_S1_021_ADAMS2023_SITE_NC_000952_1_F_21530	BATTER_S1_021_ADAMS2023_SITE_NC_000952_1_F_21530	BATTER_S1_021	Borreliella burgdorferi B31	3-prime RNA-seq	author_called_3prime_rnaseq_end_unique_site	cp32-7	NC_000952.1	21530	21529	21530	+	0		1	502.926		primary,		1.63821205547122	0	37402717	10.1038/s41467-023-39576-1	Supplementary Data 1: log + TS-stationary	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_021_LOG_AND_TRANSITION_STATIONARY_NC_000952-1_plus_21531_r000027	BATTER_S1_021_ADAMS2023_SITE_NC_000952_1_F_21531	BATTER_S1_021_ADAMS2023_SITE_NC_000952_1_F_21531	BATTER_S1_021	Borreliella burgdorferi B31	3-prime RNA-seq	author_called_3prime_rnaseq_end_unique_site	cp32-7	NC_000952.1	21531	21530	21531	+	1	1792.306	0		primary,		1.63821205547122		0	37402717	10.1038/s41467-023-39576-1	Supplementary Data 1: log + TS-stationary	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_021_LOG_AND_TRANSITION_STATIONARY_NC_000952-1_plus_28061_r000028	BATTER_S1_021_ADAMS2023_SITE_NC_000952_1_F_28061	BATTER_S1_021_ADAMS2023_SITE_NC_000952_1_F_28061	BATTER_S1_021	Borreliella burgdorferi B31	3-prime RNA-seq	author_called_3prime_rnaseq_end_unique_site	cp32-7	NC_000952.1	28061	28060	28061	+	0		1	523.6406667		primary,		9.69995407827529	0	37402717	10.1038/s41467-023-39576-1	Supplementary Data 1: log + TS-stationary	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_021_LOG_AND_TRANSITION_STATIONARY_NC_000952-1_plus_28866_r000029	BATTER_S1_021_ADAMS2023_SITE_NC_000952_1_F_28866	BATTER_S1_021_ADAMS2023_SITE_NC_000952_1_F_28866	BATTER_S1_021	Borreliella burgdorferi B31	3-prime RNA-seq	author_called_3prime_rnaseq_end_unique_site	cp32-7	NC_000952.1	28866	28865	28866	+	1	1752.115333	1	787.6563333	orphan	orphan	10.4112106408222	10.4112106408222	0	37402717	10.1038/s41467-023-39576-1	Supplementary Data 1: log + TS-stationary	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_021_LOG_AND_TRANSITION_STATIONARY_NC_000953-1_plus_17678_r000030	BATTER_S1_021_ADAMS2023_SITE_NC_000953_1_F_17678	BATTER_S1_021_ADAMS2023_SITE_NC_000953_1_F_17678	BATTER_S1_021	Borreliella burgdorferi B31	3-prime RNA-seq	author_called_3prime_rnaseq_end_unique_site	cp32-8	NC_000953.1	17678	17677	17678	+	1	2574.59	1	19585.0	primary, antisense,	primary, antisense,	8.43739913071966	8.43739913071966	1	37402717	10.1038/s41467-023-39576-1	Supplementary Data 1: log + TS-stationary	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_021_LOG_AND_TRANSITION_STATIONARY_NC_000953-1_minus_18832_r000031	BATTER_S1_021_ADAMS2023_SITE_NC_000953_1_R_18832	BATTER_S1_021_ADAMS2023_SITE_NC_000953_1_R_18832	BATTER_S1_021	Borreliella burgdorferi B31	3-prime RNA-seq	author_called_3prime_rnaseq_end_unique_site	cp32-8	NC_000953.1	18832	18831	18832	-	1	591729.6667	1	267061.3333	primary,	primary,	1.24532315008467	1.24532315008467	0	37402717	10.1038/s41467-023-39576-1	Supplementary Data 1: log + TS-stationary	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_021_LOG_AND_TRANSITION_STATIONARY_NC_000953-1_plus_19116_r000032	BATTER_S1_021_ADAMS2023_SITE_NC_000953_1_F_19116	BATTER_S1_021_ADAMS2023_SITE_NC_000953_1_F_19116	BATTER_S1_021	Borreliella burgdorferi B31	3-prime RNA-seq	author_called_3prime_rnaseq_end_unique_site	cp32-8	NC_000953.1	19116	19115	19116	+	0		1	581.2216667		internal,		1.50957357775069	0	37402717	10.1038/s41467-023-39576-1	Supplementary Data 1: log + TS-stationary	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_021_LOG_AND_TRANSITION_STATIONARY_NC_000953-1_plus_19127_r000033	BATTER_S1_021_ADAMS2023_SITE_NC_000953_1_F_19127	BATTER_S1_021_ADAMS2023_SITE_NC_000953_1_F_19127	BATTER_S1_021	Borreliella burgdorferi B31	3-prime RNA-seq	author_called_3prime_rnaseq_end_unique_site	cp32-8	NC_000953.1	19127	19126	19127	+	1	2341.246667	0		internal,		1.50957357775069		0	37402717	10.1038/s41467-023-39576-1	Supplementary Data 1: log + TS-stationary	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_021_LOG_AND_TRANSITION_STATIONARY_NC_000953-1_plus_22702_r000034	BATTER_S1_021_ADAMS2023_SITE_NC_000953_1_F_22702	BATTER_S1_021_ADAMS2023_SITE_NC_000953_1_F_22702	BATTER_S1_021	Borreliella burgdorferi B31	3-prime RNA-seq	author_called_3prime_rnaseq_end_unique_site	cp32-8	NC_000953.1	22702	22701	22702	+	1	62726.36667	1	7579.836667	primary,	primary,	2.59947744766468	2.59947744766468	0	37402717	10.1038/s41467-023-39576-1	Supplementary Data 1: log + TS-stationary	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_021_LOG_AND_TRANSITION_STATIONARY_NC_000953-1_plus_22835_r000035	BATTER_S1_021_ADAMS2023_SITE_NC_000953_1_F_22835	BATTER_S1_021_ADAMS2023_SITE_NC_000953_1_F_22835	BATTER_S1_021	Borreliella burgdorferi B31	3-prime RNA-seq	author_called_3prime_rnaseq_end_unique_site	cp32-8	NC_000953.1	22835	22834	22835	+	0		1	43979.56667		orphan		3.37946762257099	0	37402717	10.1038/s41467-023-39576-1	Supplementary Data 1: log + TS-stationary	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_021_LOG_AND_TRANSITION_STATIONARY_NC_000953-1_plus_22968_r000036	BATTER_S1_021_ADAMS2023_SITE_NC_000953_1_F_22968	BATTER_S1_021_ADAMS2023_SITE_NC_000953_1_F_22968	BATTER_S1_021	Borreliella burgdorferi B31	3-prime RNA-seq	author_called_3prime_rnaseq_end_unique_site	cp32-8	NC_000953.1	22968	22967	22968	+	1	7223.55	0		orphan		8.59376589672645		0	37402717	10.1038/s41467-023-39576-1	Supplementary Data 1: log + TS-stationary	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_021_LOG_AND_TRANSITION_STATIONARY_NC_000953-1_plus_23122_r000037	BATTER_S1_021_ADAMS2023_SITE_NC_000953_1_F_23122	BATTER_S1_021_ADAMS2023_SITE_NC_000953_1_F_23122	BATTER_S1_021	Borreliella burgdorferi B31	3-prime RNA-seq	author_called_3prime_rnaseq_end_unique_site	cp32-8	NC_000953.1	23122	23121	23122	+	0		1	20378.83333		internal,		5.9274858633229	0	37402717	10.1038/s41467-023-39576-1	Supplementary Data 1: log + TS-stationary	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_021_LOG_AND_TRANSITION_STATIONARY_NC_000953-1_plus_23125_r000038	BATTER_S1_021_ADAMS2023_SITE_NC_000953_1_F_23125	BATTER_S1_021_ADAMS2023_SITE_NC_000953_1_F_23125	BATTER_S1_021	Borreliella burgdorferi B31	3-prime RNA-seq	author_called_3prime_rnaseq_end_unique_site	cp32-8	NC_000953.1	23125	23124	23125	+	1	9412.753333	0		primary,		5.9274858633229		0	37402717	10.1038/s41467-023-39576-1	Supplementary Data 1: log + TS-stationary	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_021_LOG_AND_TRANSITION_STATIONARY_NC_000953-1_plus_23238_r000039	BATTER_S1_021_ADAMS2023_SITE_NC_000953_1_F_23238	BATTER_S1_021_ADAMS2023_SITE_NC_000953_1_F_23238	BATTER_S1_021	Borreliella burgdorferi B31	3-prime RNA-seq	author_called_3prime_rnaseq_end_unique_site	cp32-8	NC_000953.1	23238	23237	23238	+	1	7409.58	1	1155.925333	orphan	orphan	2.21937958617063	2.21937958617063	0	37402717	10.1038/s41467-023-39576-1	Supplementary Data 1: log + TS-stationary	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_021_LOG_AND_TRANSITION_STATIONARY_NC_000954-1_plus_17754_r000040	BATTER_S1_021_ADAMS2023_SITE_NC_000954_1_F_17754	BATTER_S1_021_ADAMS2023_SITE_NC_000954_1_F_17754	BATTER_S1_021	Borreliella burgdorferi B31	3-prime RNA-seq	author_called_3prime_rnaseq_end_unique_site	cp32-9	NC_000954.1	17754	17753	17754	+	0		1	7683.503333		primary, antisense,		3.14328140083374	0	37402717	10.1038/s41467-023-39576-1	Supplementary Data 1: log + TS-stationary	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_021_LOG_AND_TRANSITION_STATIONARY_NC_000954-1_minus_18910_r000041	BATTER_S1_021_ADAMS2023_SITE_NC_000954_1_R_18910	BATTER_S1_021_ADAMS2023_SITE_NC_000954_1_R_18910	BATTER_S1_021	Borreliella burgdorferi B31	3-prime RNA-seq	author_called_3prime_rnaseq_end_unique_site	cp32-9	NC_000954.1	18910	18909	18910	-	1	1313770.0	1	1244837.333	primary,	primary,	1.19343211941461	1.19343211941461	0	37402717	10.1038/s41467-023-39576-1	Supplementary Data 1: log + TS-stationary	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_021_LOG_AND_TRANSITION_STATIONARY_NC_000954-1_plus_19162_r000042	BATTER_S1_021_ADAMS2023_SITE_NC_000954_1_F_19162	BATTER_S1_021_ADAMS2023_SITE_NC_000954_1_F_19162	BATTER_S1_021	Borreliella burgdorferi B31	3-prime RNA-seq	author_called_3prime_rnaseq_end_unique_site	cp32-9	NC_000954.1	19162	19161	19162	+	0		1	644.7726667		orphan		1.45324034161192	0	37402717	10.1038/s41467-023-39576-1	Supplementary Data 1: log + TS-stationary	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_021_LOG_AND_TRANSITION_STATIONARY_NC_000954-1_minus_25782_r000043	BATTER_S1_021_ADAMS2023_SITE_NC_000954_1_R_25782	BATTER_S1_021_ADAMS2023_SITE_NC_000954_1_R_25782	BATTER_S1_021	Borreliella burgdorferi B31	3-prime RNA-seq	author_called_3prime_rnaseq_end_unique_site	cp32-9	NC_000954.1	25782	25781	25782	-	1	1619.56	1	2291.946667	orphan	orphan	1.76868005512551	1.76868005512551	0	37402717	10.1038/s41467-023-39576-1	Supplementary Data 1: log + TS-stationary	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_021_LOG_AND_TRANSITION_STATIONARY_NC_000954-1_plus_27889_r000044	BATTER_S1_021_ADAMS2023_SITE_NC_000954_1_F_27889	BATTER_S1_021_ADAMS2023_SITE_NC_000954_1_F_27889	BATTER_S1_021	Borreliella burgdorferi B31	3-prime RNA-seq	author_called_3prime_rnaseq_end_unique_site	cp32-9	NC_000954.1	27889	27888	27889	+	1	3717.4	1	698.6576667	primary,	primary,	1.13138366292698	1.13138366292698	1	37402717	10.1038/s41467-023-39576-1	Supplementary Data 1: log + TS-stationary	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_021_LOG_AND_TRANSITION_STATIONARY_NC_000955-2_minus_1041_r000045	BATTER_S1_021_ADAMS2023_SITE_NC_000955_2_R_1041	BATTER_S1_021_ADAMS2023_SITE_NC_000955_2_R_1041	BATTER_S1_021	Borreliella burgdorferi B31	3-prime RNA-seq	author_called_3prime_rnaseq_end_unique_site	lp21	NC_000955.2	1041	1040	1041	-	1	11175.73667	0		antisense,		1.29023389148726		0	37402717	10.1038/s41467-023-39576-1	Supplementary Data 1: log + TS-stationary	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_021_LOG_AND_TRANSITION_STATIONARY_NC_000955-2_minus_1042_r000046	BATTER_S1_021_ADAMS2023_SITE_NC_000955_2_R_1042	BATTER_S1_021_ADAMS2023_SITE_NC_000955_2_R_1042	BATTER_S1_021	Borreliella burgdorferi B31	3-prime RNA-seq	author_called_3prime_rnaseq_end_unique_site	lp21	NC_000955.2	1042	1041	1042	-	0		1	13959.4		antisense,		1.29023389148726	0	37402717	10.1038/s41467-023-39576-1	Supplementary Data 1: log + TS-stationary	author position treated as 1-based; BED start=position-1
BTED_BATTER_S1_021_LOG_AND_TRANSITION_STATIONARY_NC_000955-2_minus_1286_r000047	BATTER_S1_021_ADAMS2023_SITE_NC_000955_2_R_1286	BATTER_S1_021_ADAMS2023_SITE_NC_000955_2_R_1286	BATTER_S1_021	Borreliella burgdorferi B31	3-prime RNA-seq	author_called_3prime_rnaseq_end_unique_site	lp21	NC_000955.2	1286	1285	1286	-	1	3196930.0	0		primary,		1.47624088218657		0	37402717	10.1038/s41467-023-39576-1	Supplementary Data 1: log + TS-stationary	author position treated as 1-based; BED start=position-1
