end_id	link_status	record_id	source_id	species	evidence_class	reference_name	biological_coordinate_1based	bed_start_0based	bed_end_0based	strand	locus	gene_start_1based	gene_end_1based	gene_annotation	tts_counts	three_prime_utr_length	begins_operon	operon_id	pmid	doi	source_table	count_discrepancy_warning
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_plus_160532_r000035	linked	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_F_000022	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	160532	160531	160532	+	PA0140	158907	160472	alkyl hydroperoxide reductase	28.0	60	1	90	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
	unlinked_author_annotation	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_F_000023	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	184147	184146	184147	+	PA0160	183822	184007	hypothetical protein	8.0	140	1	106	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
	unlinked_author_annotation	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_R_000024	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	252855	252854	252855	-	PA0223	252913	253794	dihydrodipicolinate synthetase	12.0	58	1	145	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
	unlinked_author_annotation	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_F_000025	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	302588	302587	302588	+	PA0266	301218	302498	4-aminobutyrate aminotransferase	32.0	90	1	178	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
	unlinked_author_annotation	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_R_000026	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	311365	311364	311365	-	PA0277	311451	312209	hypothetical protein	175.0	86	1	187	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
	unlinked_author_annotation	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_R_000027	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	313876	313875	313876	-	PA0280	313938	314927	sulfate transporter CysA	8.0	62	0	190	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_plus_322015_r000050	linked	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_F_000028	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	322015	322014	322015	+	PA0286	320766	321944	delta-9 fatty acid desaturase DesA	29.0	71	1	194	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
	unlinked_author_annotation	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_F_000029	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	328722	328721	328722	+	PA0291	327284	328666	anaerobically-induced outer membrane porin	39.0	56	1	199	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_minus_332965_r000051	linked	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_R_000030	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	332965	332964	332965	-	PA0296	333079	334455	glutamine synthetase	79.0	114	1	204	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_plus_338412_r000054	linked	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_F_000031	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	338412	338411	338412	+	PA0299	336951	338321	aminotransferase	51.0	91	1	207	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_plus_339631_r000056	linked	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_F_000032	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	339631	339630	339631	+	PA0300	338437	339540	polyamine transporter	82.0	91	1	208	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_plus_344170_r000057	linked	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_F_000033	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	344170	344169	344170	+	PA0304	343256	344125	polyamine transporter PotI	40.0	45	1	211	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_minus_347777_r000058	linked	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_R_000034	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	347777	347776	347777	-	PA0306a	347832	348335	transcriptional regulator	28.0	55	1	214	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_minus_355199_r000059	linked	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_R_000035	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	355199	355198	355199	-	PA0316	355248	356477	D-3-phosphoglycerate dehydrogenase	127.0	49	1	224	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_plus_355229_r000060	linked	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_F_000036	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	355229	355228	355229	+	PA0315	354754	355191	hypothetical protein	85.0	38	1	223	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_plus_358118_r000061	linked	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_F_000037	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	358118	358117	358118	+	PA0317	356681	358075	hypothetical protein	20.0	43	1	225	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_minus_370664_r000062	linked	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_R_000038	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	370664	370663	370664	-	PA0329	370706	371038	hypothetical protein	88.0	42	1	234	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
	unlinked_author_annotation	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_R_000039	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	396011	396010	396011	-	PA0353	396057	397895	dihydroxy-acid dehydratase	36.0	46	1	252	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_plus_403071_r000065	linked	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_F_000040	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	403071	403070	403071	+	PA0359	402681	403025	hypothetical protein	20.0	46	1	258	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_minus_406555_r000067	linked	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_R_000041	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	406555	406554	406555	-	PA0363	406619	407098	phosphopantetheine adenylyltransferase	27.0	64	1	262	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_plus_421585_r000069	linked	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_F_000042	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	421585	421584	421585	+	PA0376	420683	421537	RNA polymerase factor sigma-32	177.0	48	1	271	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
	unlinked_author_annotation	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_F_000043	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	425391	425390	425391	+	PA0382	424670	425341	tRNA (guanine-N(7)-)-methyltransferase	15.0	50	1	277	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_minus_428821_r000070	linked	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_R_000044	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	428821	428820	428821	-	PA0387	428861	429454	deoxyribonucleotide triphosphate	41.0	40	0	282	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_minus_429903_r000071	linked	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_R_000045	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	429903	429902	429903	-	PA0389	430002	430622	hypothetical protein	14.0	99	0	283	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
	unlinked_author_annotation	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_F_000046	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	440442	440441	440442	+	PA0398	439991	440395	hypothetical protein	11.0	47	1	289	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
	unlinked_author_annotation	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_R_000047	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	443374	443373	443374	-	PA0401	443419	444690	dihydroorotase	69.0	45	0	291	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_minus_448398_r000077	linked	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_R_000048	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	448398	448397	448398	-	PA0407	448431	449384	glutathione synthetase	26.0	33	1	294	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
	unlinked_author_annotation	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_F_000049	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	453220	453219	453220	+	PA0411	451130	453178	twitching motility protein PilJ	9.0	42	1	298	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
	unlinked_author_annotation	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_F_000050	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	469990	469989	469990	+	PA0421	468410	469900	hypothetical protein	6.0	90	1	303	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
	unlinked_author_annotation	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_R_000051	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	471251	471250	471251	-	PA0424	471306	471749	multidrug resistance operon repressor MexR	18.0	55	1	305	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_plus_471283_r000082	linked	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_F_000052	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	471283	471282	471283	+	PA0423	470662	471237	hypothetical protein	101.0	46	0	304	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_minus_477809_r000085	linked	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_R_000053	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	477809	477808	477809	-	PA0428	477886	479805	ATP-dependent RNA helicase	98.0	77	1	307	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
	unlinked_author_annotation	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_F_000054	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	477840	477839	477840	+	PA0427	476333	477790	multidrug ABC transporter	49.0	50	0	306	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_minus_481144_r000091	linked	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_R_000055	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	481144	481143	481144	-	PA0430	481196	482068	5,10-methylenetetrahydrofolate reductase	14.0	52	1	309	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
	unlinked_author_annotation	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_R_000056	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	482667	482666	482667	-	PA0432	482706	484115	S-adenosyl-L-homocysteine hydrolase	35.0	39	1	311	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_plus_505628_r000097	linked	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_F_000057	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	505628	505627	505628	+	PA0449	505047	505586	hypothetical protein	18.0	42	0	324	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_plus_515035_r000101	linked	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_F_000058	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	515035	515034	515035	+	PA0456	514775	514984	cold-shock protein	598.0	51	1	330	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
