source_id	published_year	species	phylum	reference_genome	pmid	paper_title	doi	pmc	raw_data_accessions	assay_family	used_for_batter_augmentation	accessibility_status	coordinate_status	processing_status	blocker_or_note
BATTER_S1_011	2020	Streptomyces griseus subsp. griseus NBRC 13350	Actinobacteria	GCF_000010605.1	33319794	Genome-scale determination of 5′ and 3′ boundaries in Streptomyces genomes	10.1038/s41597-020-00775-w	PMC7738537	PRJEB40918	Term-seq / dRNA-seq	TRUE	accessible	verified	curated	Lee 2020 author-called Term-seq TTS imported on NC_010572.1.
BATTER_S1_012	2020	Streptomyces coelicolor A3(2)	Actinobacteria	GCF_000203835.1	33319794	Genome-scale determination of 5′ and 3′ boundaries in Streptomyces genomes	10.1038/s41597-020-00775-w	PMC7738537	PRJEB40918	Term-seq / dRNA-seq	TRUE	accessible	verified	curated	Lee 2020 author-called Term-seq TTS imported on NC_003888.3.
BATTER_S1_013	2020	Streptomyces lividans TK24	Actinobacteria	GCF_000739105.1	33319794	Genome-scale determination of 5′ and 3′ boundaries in Streptomyces genomes	10.1038/s41597-020-00775-w	PMC7738537	PRJEB31507	Term-seq / dRNA-seq	TRUE	accessible	verified	curated	Lee 2020 author-called Term-seq TTS imported on CP009124.1.
BATTER_S1_014	2020	Streptomyces tsukubensis	Actinobacteria	GCF_003932715.1	33319794	Genome-scale determination of 5′ and 3′ boundaries in Streptomyces genomes	10.1038/s41597-020-00775-w	PMC7738537	PRJEB36379	Term-seq / dRNA-seq	TRUE	accessible	verified	curated	Lee 2020 author-called Term-seq TTS imported on CP020700.1.
BATTER_S1_015	2020	Streptomyces clavuligerus	Actinobacteria	GCF_005519465.1	33319794	Genome-scale determination of 5′ and 3′ boundaries in Streptomyces genomes	10.1038/s41597-020-00775-w	PMC7738537	SRX6937123;SRX6937124	Term-seq / dRNA-seq	TRUE	accessible	verified	curated	Lee 2020 two-replicon endpoint table imported on CP027858.1 and CP027859.1.
BATTER_S1_016	2020	Streptomyces venezuelae	Actinobacteria	GCF_015710995.1	33319794	Genome-scale determination of 5′ and 3′ boundaries in Streptomyces genomes	10.1038/s41597-020-00775-w	PMC7738537	PRJEB36379	Term-seq / dRNA-seq	TRUE	accessible	verified_with_taxonomy_conflict	curated	Coordinates verified on author-specified CP059991.1. Paper, ENA and ATCC label ATCC 15439 S. venezuelae; current NCBI GCF_015710995.1 / CP059991.1 labels it S. gardneri. Published with both labels and an explicit warning.
BATTER_S1_017	2021	Streptomyces clavuligerus	Actinobacteria	GCF_005519465.1	33947798	Regulatory Elements for Transcription Termination in Streptomyces clavuligerus	10.1128/mSystems.01013-20	PMC8269248	GSE128216;GSE138325	Term-seq / dRNA-seq	TRUE	accessible	verified	curated	Hwang 2021 Data Set S1 imported independently: 1,427 author-called TEPs across CP027858.1 chromosome and CP027859.1 plasmid.
BATTER_S1_018	2021	Synechocystis sp. PCC 7338	Cyanobacteria	GCF_018282115.1	34054774	Multi-Omic Analyses of Synechocystis sp. PCC 7338	10.3389/fmicb.2021.667450	PMC8155712	PRJNA629670	Term-seq / dRNA-seq	TRUE	accessible	verified	curated	Supplementary Data S2 imported: 487 TEPs across CP054306.1 chromosome and three plasmids.
BATTER_S1_019	2022	Synechocystis sp. PCC 6803	Cyanobacteria	GCF_000009725.1	34874777	Regulatory Modes of Synechocystis sp. PCC 6803	10.1128/mSystems.00943-21	PMC8651088	PRJNA666973	Term-seq / dRNA-seq	TRUE	accessible	verified	curated	Table S5 imported: 784 manually curated Term-seq TEPs on NC_000911.1.
BATTER_S1_020	2022	Dickeya dadantii 3937	Proteobacteria	GCF_000147055.1	35491820	Transcriptional Landscape of Dickeya dadantii	10.1128/mbio.00524-22	PMC9239193	E-MTAB-10482;E-MTAB-541;E-MTAB-7650;E-MTAB-9075;GSE94713	RNA-seq / transcript boundary mapping	TRUE	accessible	verified	curated	Table S2D imported as 1,165 Nanopore native RNA 3-prime ends on NC_014500.1. The mixed-evidence S1C table is retained internally but excluded from public downloads and JBrowse.
BATTER_S1_021	2023	Borreliella burgdorferi B31	Spirochaetota	GCF_000008685.2	37402717	RNA termination and regulation in Borrelia burgdorferi	10.1038/s41467-023-39576-1	PMC10319736	GSE222084;GSE222085;GSE222086;GSE222087;GSE222088	RNAtag-seq / Term-seq	FALSE	accessible	verified	curated	Supplementary Data 1 imported as 1,905 unique 3-prime RNA-seq end sites from 2,277 log and transition/stationary observations across 20 of the 22 reference replicons.
BATTER_S1_022	2023	Mycobacterium tuberculosis H37Rv	Actinobacteria	GCF_000195955.2	37096044	Premature termination of transcription in Mycobacterium tuberculosis	10.1016/j.isci.2023.106465	PMC10122055	E-MTAB-11753	Term-seq	FALSE	accessible	verified	curated	Table S3 Classification of TTS imported as 2,567 author-called Term-seq TTSs. AL123456.3 and NC_000962.3 sequences are identical, so coordinates are directly mapped to GCF_000195955.2 / NC_000962.3. Pure prediction-only RUT sites are excluded from public downloads and JBrowse.
