locus_tag	tts_position	gff_matched	inferred_strand	confidence	note
CDIF630_00058	37439	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS00275 (37364-37438, +链); Location TTS=3UTR
CDIF630_00060	37621	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS00285 (37545-37620, +链); Location TTS=3UTR
CDIF630_00061	37703	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS00290 (37628-37702, +链); Location TTS=3UTR
CDIF630_00062	37786	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS00295 (37712-37785, +链); Location TTS=3UTR
CDIF630_00063	37867	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS00300 (37791-37866, +链); Location TTS=3UTR
CDIF630_00064	37949	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS00305 (37872-37948, +链); Location TTS=3UTR
CDIF630_00066	38132	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS00315 (38047-38131, +链); Location TTS=3UTR
CDIF630_00068	38323	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS00325 (38248-38322, +链); Location TTS=3UTR
CDIF630_00070	38511	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS00335 (38433-38508, +链); Location TTS=3UTR
CDIF630_00072	38684	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS00345 (38595-38683, +链); Location TTS=3UTR
CDIF630_00076	39029	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS00365 (38951-39027, +链); Location TTS=3UTR
CDIF630_00079	39277	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS00380 (39200-39276, +链); Location TTS=3UTR
CDIF630_00080	39402	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS00385 (39289-39364, +链); Location TTS=3UTR
CDIF630_00083	43660	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS00395 (40162-43593, +链); Location TTS=3UTR
CDIF630_00083	42641	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS00395 (40162-43593, +链); Location TTS=CDS
CDIF630_00084	45870	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS00400 (43835-45763, +链); Location TTS=3UTR
CDIF630_00088	50758	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS00420 (48209-50656, +链); Location TTS=3UTR
CDIF630_00091	54526	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS00435 (53371-54465, +链); Location TTS=3UTR
CDIF630_00092	56925	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS00440 (54594-56771, +链); Location TTS=3UTR
CDIF630_00093	56864	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS00445 (56957-57802, -链); Location TTS=3UTR
CDIF630nc_126	62645	是	+	低	locus tag(CDIF630nc_126)未命中; 按坐标关联到GFF gene/CDIF630_RS00465 (62764-63717, +链), 低置信
CDIF630_00101	68813	是	+	高	locus tag直接命中 GFF gene/lpdA (66954-68684, +链); Location TTS=3UTR
CDIF630_00104	72927	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS00500 (72572-72874, +链); Location TTS=3UTR
CDIF630_00108	76791	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS00520 (75804-76736, +链); Location TTS=3UTR
CP010905.2:78300..78508	78537	是	+	低	坐标定位到GFF特征 binding_site/ (78300-78508, +链), 非基因特征, 低置信
CDIF630_00113	81914	是	+	高	locus tag直接命中 GFF gene/proS (80409-81854, +链); Location TTS=3UTR
CDIF630_00114	83811	是	+	高	locus tag直接命中 GFF gene/gltX (82292-83773, +链); Location TTS=3UTR
CDIF630_00115	84224	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS20385 (83994-84149, +链); Location TTS=3UTR
CDIF630_00117	86140	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS00560 (85694-86089, +链); Location TTS=3UTR
CDIF630_00122	90278	是	+	高	locus tag直接命中 GFF gene/tuf (89019-90212, +链); Location TTS=3UTR
CP010905.2:92705..92833	92828	是	+	低	坐标定位到GFF特征 sequence_feature/ (92705-92833, +链), 非基因特征, 低置信
CDIF630_00130	93841	是	+	高	locus tag直接命中 GFF gene/rplL (93439-93804, +链); Location TTS=3UTR
CDIF630_00131	95124	是	+	高	locus tag直接命中 GFF gene/hdhA (94196-94984, +链); Location TTS=3UTR
CDIF630_00133	102811	是	+	高	locus tag直接命中 GFF gene/rpoC (99213-102698, +链); Location TTS=3UTR
CDIF630_00137	107466	是	+	高	locus tag直接命中 GFF gene/tuf (106211-107404, +链); Location TTS=3UTR
CDIF630_00169	123656	是	+	高	locus tag直接命中 GFF gene/rplQ (123275-123616, +链); Location TTS=3UTR
CDIF630_00175	128112	是	+	高	locus tag直接命中 GFF gene/rpsI (127563-127955, +链); Location TTS=3UTR
CDIF630_00176	129246	是	+	高	locus tag直接命中 GFF gene/cwlD (128461-129165, +链); Location TTS=3UTR
CDIF630_00178	131083	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS00860 (131007-131082, +链); Location TTS=3UTR
CDIF630_00179	134354	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS00865 (131457-134354, +链); Location TTS=3UTR
CDIF630_00180	134604	是	+	高	locus tag直接命中 GFF gene/rrf (134487-134603, +链); Location TTS=3UTR
CDIF630_00181	134685	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS00875 (134610-134684, +链); Location TTS=3UTR
CDIF630_00182	134764	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS00880 (134689-134763, +链); Location TTS=3UTR
CDIF630_00183	134845	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS00885 (134769-134844, +链); Location TTS=3UTR
CDIF630_00184	134927	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS00890 (134850-134926, +链); Location TTS=3UTR
CDIF630_00186	135111	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS00900 (135026-135110, +链); Location TTS=3UTR
CDIF630_00187	135194	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS00905 (135120-135193, +链); Location TTS=3UTR
CDIF630_00188	135281	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS00910 (135204-135280, +链); Location TTS=3UTR
CDIF630_00189	135366	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS00915 (135290-135365, +链); Location TTS=3UTR
CDIF630_00191	135544	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS00925 (135455-135543, +链); Location TTS=3UTR
CDIF630_00192	135652	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS00930 (135561-135651, +链); Location TTS=3UTR
CDIF630_00194	135898	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS00940 (135822-135897, +链); Location TTS=3UTR
CDIF630_00195	136035	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS00945 (135958-136034, +链); Location TTS=3UTR
CDIF630_00196	136118	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS00950 (136041-136117, +链); Location TTS=3UTR
CDIF630_00200	138030	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS00970 (137954-138029, +链); Location TTS=3UTR
CDIF630_00201	141300	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS00975 (138404-141301, +链); Location TTS=3UTR
CDIF630_00202	141545	是	+	高	locus tag直接命中 GFF gene/rrf (141428-141544, +链); Location TTS=3UTR
CDIF630_00203	141607	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS00985 (141758-142942, -链); Location TTS=3UTR
CDIF630_00205	146278	是	+	高	locus tag直接命中 GFF gene/nrdG (145688-146227, +链); Location TTS=3UTR
CDIF630_00207	148640	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS01005 (148564-148639, +链); Location TTS=3UTR
CDIF630_00208	151849	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS01010 (148953-151850, +链); Location TTS=3UTR
CDIF630_00209	152169	是	+	高	locus tag直接命中 GFF gene/rrf (152052-152168, +链); Location TTS=3UTR
CDIF630_00210	152263	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS01020 (152174-152262, +链); Location TTS=3UTR
CDIF630_00211	152351	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS01025 (152274-152350, +链); Location TTS=3UTR
CDIF630_00213	154095	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS01035 (154019-154094, +链); Location TTS=3UTR
CDIF630_00214	157244	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS01040 (154347-157244, +链); Location TTS=3UTR
CDIF630_00215	157490	是	+	高	locus tag直接命中 GFF gene/rrf (157372-157488, +链); Location TTS=3UTR
CDIF630_00216	157571	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS01050 (157496-157570, +链); Location TTS=3UTR
CDIF630_00218	157753	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS01060 (157677-157752, +链); Location TTS=3UTR
CDIF630_00219	157835	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS01065 (157760-157834, +链); Location TTS=3UTR
CDIF630_00220	157923	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS01070 (157849-157922, +链); Location TTS=3UTR
CDIF630_00221	158004	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS01075 (157928-158003, +链); Location TTS=3UTR
CDIF630_00222	158086	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS01080 (158009-158085, +链); Location TTS=3UTR
CDIF630_00223	158171	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS01085 (158096-158170, +链); Location TTS=3UTR
CDIF630_00224	158294	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS01090 (158180-158253, +链); Location TTS=3UTR
CDIF630_00226	161342	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS01100 (160064-161245, +链); Location TTS=3UTR
CDIF630_00233	166954	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS01140 (166338-166895, +链); Location TTS=3UTR
CDIF630_00234	168457	是	+	高	locus tag直接命中 GFF gene/glmM (167065-168411, +链); Location TTS=3UTR
CDIF630_00236	170593	是	+	高	locus tag直接命中 GFF gene/glmS (168678-170510, +链); Location TTS=3UTR
CDIF630_00237	172719	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS01155 (170961-172256, +链); Location TTS=3UTR
CDIF630_00239	174836	是	+	高	locus tag直接命中 GFF gene/murA (173477-174730, +链); Location TTS=3UTR
CDIF630_00241	176659	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS01175 (175947-176615, +链); Location TTS=3UTR
CDIF630_00242	176996	是	+	高	locus tag直接命中 GFF gene/spoIIID (176713-176973, +链); Location TTS=3UTR
CDIF630_00244	178711	是	+	高	locus tag直接命中 GFF gene/fabZ (178205-178633, +链); Location TTS=3UTR
CDIF630_00245	178649	是	-	高	locus tag直接命中 GFF gene/yyaC (178744-179253, -链); Location TTS=3UTR
CP010905.2:179442..179545	179606	否		无法确定	坐标处无唯一GFF特征, 需人工核查
CDIF630_00247	180935	是	+	高	locus tag直接命中 GFF gene/metK (179682-180875, +链); Location TTS=3UTR
CDIF630_00248	182394	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS01205 (181191-182288, +链); Location TTS=3UTR
CDIF630_00250	185858	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS01215 (184816-185556, +链); Location TTS=3UTR
CDIF630nc_001	185858	是	+	低	locus tag(CDIF630nc_001)未命中; 按坐标关联到GFF gene/CDIF630_RS01215 (184816-185556, +链), 低置信
CDIF630_00259	194498	是	+	高	locus tag直接命中 GFF gene/hpf (193888-194439, +链); Location TTS=3UTR
CDIF630_00262	198469	是	+	高	locus tag直接命中 GFF gene/prfB (197261-198368, +链); Location TTS=3UTR
CP010905.2:202027..202144	202225	是	+	低	坐标定位到GFF特征 riboswitch/ (202027-202144, +链), 非基因特征, 低置信
CDIF630_00266	202979	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS01285 (202269-202874, +链); Location TTS=3UTR
CDIF630_00267	204280	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS01290 (203203-204243, +链); Location TTS=3UTR
CDIF630_00271	207236	是	+	高	locus tag直接命中 GFF gene/tsaD (206022-207038, +链); Location TTS=3UTR
CDIF630_00274	211314	是	+	高	locus tag直接命中 GFF gene/hpdA (210297-211247, +链); Location TTS=3UTR
CDIF630_00275	212643	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS01330 (211562-212524, +链); Location TTS=3UTR
CDIF630_00275	212230	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS01330 (211562-212524, +链); Location TTS=CDS
CDIF630_00276	212598	是	-	高	locus tag直接命中 GFF pseudogene/CDIF630_RS01335 (212623-213602, -链); Location TTS=3UTR
CDIF630_00276	212970	是	-	高	locus tag直接命中 GFF pseudogene/CDIF630_RS01335 (212623-213602, -链); Location TTS=CDS
CDIF630_00278	215293	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS01340 (214735-215202, +链); Location TTS=3UTR
CDIF630_00284	222398	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS01370 (221987-222190, +链); Location TTS=3UTR
CDIF630_00285	223064	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS01375 (222676-222969, +链); Location TTS=3UTR
CDIF630_00288	226008	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS01390 (226076-228088, -链); Location TTS=3UTR
CDIF630_00288	228173	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS01390 (226076-228088, -链); Location TTS=5UTR
CDIF630_00289	229316	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS01400 (228559-229209, +链); Location TTS=3UTR
CDIF630_00290	229255	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS01405 (229348-230724, -链); Location TTS=3UTR
CDIF630_00292	233508	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS01415 (232789-233421, +链); Location TTS=3UTR
CDIF630_00293	234264	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS01420 (233560-234099, +链); Location TTS=3UTR
CDIF630_00294	234213	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS01425 (234275-234445, -链); Location TTS=3UTR
CDIF630_00295	235942	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS01430 (234730-235797, +链); Location TTS=3UTR
CDIF630_00298	239639	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS01445 (238309-239535, +链); Location TTS=3UTR
CDIF630_00299	239570	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS01450 (239674-240861, -链); Location TTS=3UTR
CDIF630_00301	243427	是	+	高	locus tag直接命中 GFF gene/gluD (242087-243352, +链); Location TTS=3UTR
CDIF630_00303	246076	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS01475 (244484-245617, +链); Location TTS=3UTR
CDIF630nc_003	246019	是	+	低	locus tag(CDIF630nc_003)未命中; 按坐标关联到GFF gene/CDIF630_RS01485 (246533-247555, +链), 低置信
CDIF630nc_003	246227	是	+	低	locus tag(CDIF630nc_003)未命中; 按坐标关联到GFF gene/CDIF630_RS01485 (246533-247555, +链), 低置信
CDIF630_00304	247678	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS01485 (246533-247555, +链); Location TTS=3UTR
CDIF630_00308	251194	是	+	高	locus tag直接命中 GFF gene/pyrE (250482-251066, +链); Location TTS=3UTR
CDIF630_00309	252405	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS01510 (251281-252207, +链); Location TTS=3UTR
CDIF630_00310	252079	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS01515 (252259-253149, -链); Location TTS=3UTR
CDIF630_00315	259268	是	+	高	locus tag直接命中 GFF gene/groL (257555-259183, +链); Location TTS=3UTR
CP010905.2:261512..261613	261750	是	+	低	坐标定位到GFF特征 riboswitch/ (261512-261613, +链), 非基因特征, 低置信
CDIF630_00320	263527	是	+	高	locus tag直接命中 GFF gene/guaA (261834-263369, +链); Location TTS=3UTR
CDIF630_00321	265450	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS01565 (263948-265339, +链); Location TTS=3UTR
CDIF630_00324	266388	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS01580 (266482-267315, -链); Location TTS=3UTR
CDIF630_00326	273543	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS01590 (271247-273481, +链); Location TTS=3UTR
CDIF630_00331	279087	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS01615 (277752-279017, +链); Location TTS=3UTR
CDIF630_00332	279953	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS01620 (279105-279818, +链); Location TTS=3UTR
CDIF630_00334	283231	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS01630 (280994-283057, +链); Location TTS=3UTR
CDIF630_00335	283183	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS01635 (283281-283574, -链); Location TTS=3UTR
CDIF630_00338	286028	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS01650 (284638-285801, +链); Location TTS=3UTR
CDIF630nc_004	286028	否		无法确定	locus tag(CDIF630nc_004)未命中且坐标(285785-285973)处无唯一GFF特征, 需人工核查
CDIF630_00347	297956	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS01695 (294045-297851, +链); Location TTS=3UTR
CDIF630_00350	299801	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS01710 (299426-299740, +链); Location TTS=3UTR
CDIF630_00361	307172	是	+	高	locus tag直接命中 GFF gene/fliC (306237-307109, +链); Location TTS=3UTR
CDIF630_00366	313661	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS01790 (312071-313546, +链); Location TTS=3UTR
CP010905.2:314072..314162	314229	是	+	低	坐标定位到GFF特征 riboswitch/ (314072-314162, +链), 非基因特征, 低置信
CDIF630_00368	314526	是	+	高	locus tag直接命中 GFF gene/flgB (314567-314884, +链); Location TTS=5UTR
CDIF630_00397	340758	是	+	高	locus tag直接命中 GFF gene/htpG (338713-340650, +链); Location TTS=3UTR
CDIF630_00399	343448	是	+	高	locus tag直接命中 GFF gene/splB (342394-343416, +链); Location TTS=3UTR
CDIF630_00403	346306	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS01975 (345573-345968, +链); Location TTS=3UTR
CDIF630_00404	346676	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS01980 (346371-346577, +链); Location TTS=3UTR
CDIF630_00406	348030	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS01990 (348303-349046, -链); Location TTS=3UTR
CDIF630_00407	351818	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS01995 (349212-351779, +链); Location TTS=3UTR
CDIF630_00414	356059	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS02030 (355536-356015, +链); Location TTS=3UTR
CDIF630_00421	363065	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS02070 (362711-362974, +链); Location TTS=3UTR
CDIF630_00429	372165	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS02110 (371354-372097, +链); Location TTS=3UTR
CDIF630_00433	375799	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS02130 (375157-375648, +链); Location TTS=3UTR
CDIF630_00434	375759	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS02140 (375850-376578, -链); Location TTS=3UTR
CDIF630_00435	377846	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS02145 (376703-377791, +链); Location TTS=3UTR
CDIF630_00436	378024	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS02150 (378228-379076, -链); Location TTS=3UTR
CDIF630_00438	382160	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS02160 (379663-382050, +链); Location TTS=3UTR
CDIF630_00440	387258	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS02170 (384362-387259, +链); Location TTS=3UTR
CDIF630_00441	387504	是	+	高	locus tag直接命中 GFF gene/rrf (387387-387503, +链); Location TTS=3UTR
CDIF630_00442	388404	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS02180 (387681-388289, +链); Location TTS=3UTR
CDIF630_00443	388479	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS02190 (388830-389603, -链); Location TTS=3UTR
CP010905.2:396306..396498	396613	是	+	低	坐标定位到GFF特征 riboswitch/ (396306-396497, +链), 非基因特征, 低置信
CDIF630_00454	397819	是	+	高	locus tag直接命中 GFF gene/cbiQ (397709-398407, +链); Location TTS=CDS
CDIF630_00455	399324	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS02250 (398400-399218, +链); Location TTS=3UTR
CDIF630nc_006	399324	是	+	低	locus tag(CDIF630nc_006)未命中; 按坐标关联到GFF gene/CDIF630_RS02250 (398400-399218, +链), 低置信
CDIF630_00459	404541	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS02270 (403900-404424, +链); Location TTS=3UTR
CDIF630nc_007	404988	是	+	低	locus tag(CDIF630nc_007)未命中; 按坐标关联到GFF gene/bclA1 (405102-407183, +链), 低置信
CDIF630_00461	407371	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS02280 (407428-409026, -链); Location TTS=3UTR
CDIF630_00463	412877	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS02290 (412907-413248, -链); Location TTS=3UTR
CDIF630_00468	418555	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS02315 (418623-423680, -链); Location TTS=3UTR
CDIF630_00470	424241	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS02325 (424358-424609, -链); Location TTS=3UTR
CDIF630_00473	427347	是	+	高	locus tag直接命中 GFF gene/yjbM (426450-427262, +链); Location TTS=3UTR
CDIF630_00476	430340	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS02355 (429127-429900, +链); Location TTS=3UTR
CDIF630_00479	431580	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS02365 (431026-431517, +链); Location TTS=3UTR
CDIF630_00482	434108	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS02380 (433370-433972, +链); Location TTS=3UTR
CDIF630_00483	434000	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS02385 (434146-435336, -链); Location TTS=3UTR
CDIF630_00484	435360	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS02390 (435414-435617, -链); Location TTS=3UTR
CDIF630_00485	435647	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS02405 (435990-436244, -链); Location TTS=3UTR
CDIF630_00492	441946	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS02440 (442010-442741, -链); Location TTS=3UTR
CDIF630nc_008	462658	是	+	低	locus tag(CDIF630nc_008)未命中; 按坐标关联到GFF gene/CDIF630_RS02555 (462183-462458, +链), 低置信
CDIF630_00517	467127	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS02570 (466060-466896, +链); Location TTS=3UTR
CDIF630_00519	469110	是	+	高	locus tag直接命中 GFF gene/asnB (467479-469062, +链); Location TTS=3UTR
CDIF630_00520	469068	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS02585 (469141-469737, -链); Location TTS=3UTR
CDIF630_00522	470540	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS02595 (470653-471651, -链); Location TTS=3UTR
CDIF630_00529	480001	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS02630 (478752-479789, +链); Location TTS=3UTR
CDIF630_00530	482016	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS02635 (480272-481903, +链); Location TTS=3UTR
CDIF630_00531	481962	是	-	高	locus tag直接命中 GFF gene/fba (482038-482964, -链); Location TTS=3UTR
CDIF630_00535	486232	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS02665 (485892-486173, +链); Location TTS=3UTR
CDIF630_00550	501394	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS02745 (500531-501334, +链); Location TTS=3UTR
CDIF630nc_010	512663	否		无法确定	locus tag(CDIF630nc_010)未命中且坐标(512663-512787)处无唯一GFF特征, 需人工核查
