end_id	source_record_id	source_end_id	author_tts_id	source_id	species	sample_id	assay	evidence_class	published_sequence_label	reference_name	biological_coordinate_1based	bed_start_0based	bed_end_0based	strand	condition_A	condition_B	condition_C	condition_D	condition_E	condition_F	conditions_detected	matched_predicted_terminator	location_class	pmid	doi	source_table	processing_filter	coordinate_interpretation
BTED_BATTER_S1_009_GSE139939_MULTI_CONDITION_TERMSEQ_CP023715-1_minus_12569_r000012	TERM_0011	BATTER_S1_009_VERA2020_TERMSEQ_CP023715_1_R_000011	TERM_0011	BATTER_S1_009	Zymomonas mobilis subsp. mobilis ZM4	GSE139939_MULTI_CONDITION_TERMSEQ	Term-seq + TSS-seq processing-site exclusion	author_called_termseq_tts_processing_filtered	ZM4	CP023715.1	12569	12568	12569	-	0	0	0	0	1	1	2		d1	32694125	10.1128/mSystems.00250-20	Data Set S3: TTS_list	candidate 3-prime ends with adjacent downstream 5-prime-monophosphoryl sites and tRNA-overlapping sites removed	author legend states 1-based; BED start=position-1
BTED_BATTER_S1_009_GSE139939_MULTI_CONDITION_TERMSEQ_CP023715-1_minus_12572_r000013	TERM_0012	BATTER_S1_009_VERA2020_TERMSEQ_CP023715_1_R_000012	TERM_0012	BATTER_S1_009	Zymomonas mobilis subsp. mobilis ZM4	GSE139939_MULTI_CONDITION_TERMSEQ	Term-seq + TSS-seq processing-site exclusion	author_called_termseq_tts_processing_filtered	ZM4	CP023715.1	12572	12571	12572	-	0	0	0	0	1	0	1		d1	32694125	10.1128/mSystems.00250-20	Data Set S3: TTS_list	candidate 3-prime ends with adjacent downstream 5-prime-monophosphoryl sites and tRNA-overlapping sites removed	author legend states 1-based; BED start=position-1
BTED_BATTER_S1_009_GSE139939_MULTI_CONDITION_TERMSEQ_CP023715-1_minus_12619_r000014	TERM_0013	BATTER_S1_009_VERA2020_TERMSEQ_CP023715_1_R_000013	TERM_0013	BATTER_S1_009	Zymomonas mobilis subsp. mobilis ZM4	GSE139939_MULTI_CONDITION_TERMSEQ	Term-seq + TSS-seq processing-site exclusion	author_called_termseq_tts_processing_filtered	ZM4	CP023715.1	12619	12618	12619	-	0	0	0	0	1	0	1		d1	32694125	10.1128/mSystems.00250-20	Data Set S3: TTS_list	candidate 3-prime ends with adjacent downstream 5-prime-monophosphoryl sites and tRNA-overlapping sites removed	author legend states 1-based; BED start=position-1
BTED_BATTER_S1_009_GSE139939_MULTI_CONDITION_TERMSEQ_CP023715-1_plus_14730_r000015	TERM_0014	BATTER_S1_009_VERA2020_TERMSEQ_CP023715_1_F_000014	TERM_0014	BATTER_S1_009	Zymomonas mobilis subsp. mobilis ZM4	GSE139939_MULTI_CONDITION_TERMSEQ	Term-seq + TSS-seq processing-site exclusion	author_called_termseq_tts_processing_filtered	ZM4	CP023715.1	14730	14729	14730	+	0	0	0	0	0	1	1		d2	32694125	10.1128/mSystems.00250-20	Data Set S3: TTS_list	candidate 3-prime ends with adjacent downstream 5-prime-monophosphoryl sites and tRNA-overlapping sites removed	author legend states 1-based; BED start=position-1
BTED_BATTER_S1_009_GSE139939_MULTI_CONDITION_TERMSEQ_CP023715-1_plus_17482_r000016	TERM_0015	BATTER_S1_009_VERA2020_TERMSEQ_CP023715_1_F_000015	TERM_0015	BATTER_S1_009	Zymomonas mobilis subsp. mobilis ZM4	GSE139939_MULTI_CONDITION_TERMSEQ	Term-seq + TSS-seq processing-site exclusion	author_called_termseq_tts_processing_filtered	ZM4	CP023715.1	17482	17481	17482	+	0	0	0	0	0	1	1		c	32694125	10.1128/mSystems.00250-20	Data Set S3: TTS_list	candidate 3-prime ends with adjacent downstream 5-prime-monophosphoryl sites and tRNA-overlapping sites removed	author legend states 1-based; BED start=position-1
BTED_BATTER_S1_009_GSE139939_MULTI_CONDITION_TERMSEQ_CP023715-1_plus_17889_r000017	TERM_0016	BATTER_S1_009_VERA2020_TERMSEQ_CP023715_1_F_000016	TERM_0016	BATTER_S1_009	Zymomonas mobilis subsp. mobilis ZM4	GSE139939_MULTI_CONDITION_TERMSEQ	Term-seq + TSS-seq processing-site exclusion	author_called_termseq_tts_processing_filtered	ZM4	CP023715.1	17889	17888	17889	+	0	0	0	0	1	1	2		c	32694125	10.1128/mSystems.00250-20	Data Set S3: TTS_list	candidate 3-prime ends with adjacent downstream 5-prime-monophosphoryl sites and tRNA-overlapping sites removed	author legend states 1-based; BED start=position-1
BTED_BATTER_S1_009_GSE139939_MULTI_CONDITION_TERMSEQ_CP023715-1_plus_17895_r000018	TERM_0017	BATTER_S1_009_VERA2020_TERMSEQ_CP023715_1_F_000017	TERM_0017	BATTER_S1_009	Zymomonas mobilis subsp. mobilis ZM4	GSE139939_MULTI_CONDITION_TERMSEQ	Term-seq + TSS-seq processing-site exclusion	author_called_termseq_tts_processing_filtered	ZM4	CP023715.1	17895	17894	17895	+	0	0	0	0	0	1	1		c	32694125	10.1128/mSystems.00250-20	Data Set S3: TTS_list	candidate 3-prime ends with adjacent downstream 5-prime-monophosphoryl sites and tRNA-overlapping sites removed	author legend states 1-based; BED start=position-1
BTED_BATTER_S1_009_GSE139939_MULTI_CONDITION_TERMSEQ_CP023715-1_plus_18156_r000019	TERM_0018	BATTER_S1_009_VERA2020_TERMSEQ_CP023715_1_F_000018	TERM_0018	BATTER_S1_009	Zymomonas mobilis subsp. mobilis ZM4	GSE139939_MULTI_CONDITION_TERMSEQ	Term-seq + TSS-seq processing-site exclusion	author_called_termseq_tts_processing_filtered	ZM4	CP023715.1	18156	18155	18156	+	0	0	0	0	1	0	1		c	32694125	10.1128/mSystems.00250-20	Data Set S3: TTS_list	candidate 3-prime ends with adjacent downstream 5-prime-monophosphoryl sites and tRNA-overlapping sites removed	author legend states 1-based; BED start=position-1
BTED_BATTER_S1_009_GSE139939_MULTI_CONDITION_TERMSEQ_CP023715-1_plus_18417_r000020	TERM_0019	BATTER_S1_009_VERA2020_TERMSEQ_CP023715_1_F_000019	TERM_0019	BATTER_S1_009	Zymomonas mobilis subsp. mobilis ZM4	GSE139939_MULTI_CONDITION_TERMSEQ	Term-seq + TSS-seq processing-site exclusion	author_called_termseq_tts_processing_filtered	ZM4	CP023715.1	18417	18416	18417	+	0	0	0	0	1	0	1		a1	32694125	10.1128/mSystems.00250-20	Data Set S3: TTS_list	candidate 3-prime ends with adjacent downstream 5-prime-monophosphoryl sites and tRNA-overlapping sites removed	author legend states 1-based; BED start=position-1
BTED_BATTER_S1_009_GSE139939_MULTI_CONDITION_TERMSEQ_CP023715-1_plus_18574_r000021	TERM_0020	BATTER_S1_009_VERA2020_TERMSEQ_CP023715_1_F_000020	TERM_0020	BATTER_S1_009	Zymomonas mobilis subsp. mobilis ZM4	GSE139939_MULTI_CONDITION_TERMSEQ	Term-seq + TSS-seq processing-site exclusion	author_called_termseq_tts_processing_filtered	ZM4	CP023715.1	18574	18573	18574	+	0	0	0	0	1	0	1		a1	32694125	10.1128/mSystems.00250-20	Data Set S3: TTS_list	candidate 3-prime ends with adjacent downstream 5-prime-monophosphoryl sites and tRNA-overlapping sites removed	author legend states 1-based; BED start=position-1
BTED_BATTER_S1_009_GSE139939_MULTI_CONDITION_TERMSEQ_CP023715-1_plus_18995_r000022	TERM_0021	BATTER_S1_009_VERA2020_TERMSEQ_CP023715_1_F_000021	TERM_0021	BATTER_S1_009	Zymomonas mobilis subsp. mobilis ZM4	GSE139939_MULTI_CONDITION_TERMSEQ	Term-seq + TSS-seq processing-site exclusion	author_called_termseq_tts_processing_filtered	ZM4	CP023715.1	18995	18994	18995	+	0	0	0	0	0	1	1		a1	32694125	10.1128/mSystems.00250-20	Data Set S3: TTS_list	candidate 3-prime ends with adjacent downstream 5-prime-monophosphoryl sites and tRNA-overlapping sites removed	author legend states 1-based; BED start=position-1
BTED_BATTER_S1_009_GSE139939_MULTI_CONDITION_TERMSEQ_CP023715-1_plus_19059_r000023	TERM_0022	BATTER_S1_009_VERA2020_TERMSEQ_CP023715_1_F_000022	TERM_0022	BATTER_S1_009	Zymomonas mobilis subsp. mobilis ZM4	GSE139939_MULTI_CONDITION_TERMSEQ	Term-seq + TSS-seq processing-site exclusion	author_called_termseq_tts_processing_filtered	ZM4	CP023715.1	19059	19058	19059	+	0	0	0	0	0	1	1		a1	32694125	10.1128/mSystems.00250-20	Data Set S3: TTS_list	candidate 3-prime ends with adjacent downstream 5-prime-monophosphoryl sites and tRNA-overlapping sites removed	author legend states 1-based; BED start=position-1
BTED_BATTER_S1_009_GSE139939_MULTI_CONDITION_TERMSEQ_CP023715-1_plus_19060_r000024	TERM_0023	BATTER_S1_009_VERA2020_TERMSEQ_CP023715_1_F_000023	TERM_0023	BATTER_S1_009	Zymomonas mobilis subsp. mobilis ZM4	GSE139939_MULTI_CONDITION_TERMSEQ	Term-seq + TSS-seq processing-site exclusion	author_called_termseq_tts_processing_filtered	ZM4	CP023715.1	19060	19059	19060	+	0	0	0	0	1	0	1		a1	32694125	10.1128/mSystems.00250-20	Data Set S3: TTS_list	candidate 3-prime ends with adjacent downstream 5-prime-monophosphoryl sites and tRNA-overlapping sites removed	author legend states 1-based; BED start=position-1
BTED_BATTER_S1_009_GSE139939_MULTI_CONDITION_TERMSEQ_CP023715-1_plus_19081_r000025	TERM_0024	BATTER_S1_009_VERA2020_TERMSEQ_CP023715_1_F_000024	TERM_0024	BATTER_S1_009	Zymomonas mobilis subsp. mobilis ZM4	GSE139939_MULTI_CONDITION_TERMSEQ	Term-seq + TSS-seq processing-site exclusion	author_called_termseq_tts_processing_filtered	ZM4	CP023715.1	19081	19080	19081	+	0	0	0	0	0	1	1		a1	32694125	10.1128/mSystems.00250-20	Data Set S3: TTS_list	candidate 3-prime ends with adjacent downstream 5-prime-monophosphoryl sites and tRNA-overlapping sites removed	author legend states 1-based; BED start=position-1
BTED_BATTER_S1_009_GSE139939_MULTI_CONDITION_TERMSEQ_CP023715-1_plus_19082_r000026	TERM_0025	BATTER_S1_009_VERA2020_TERMSEQ_CP023715_1_F_000025	TERM_0025	BATTER_S1_009	Zymomonas mobilis subsp. mobilis ZM4	GSE139939_MULTI_CONDITION_TERMSEQ	Term-seq + TSS-seq processing-site exclusion	author_called_termseq_tts_processing_filtered	ZM4	CP023715.1	19082	19081	19082	+	0	1	0	1	1	1	4		a1	32694125	10.1128/mSystems.00250-20	Data Set S3: TTS_list	candidate 3-prime ends with adjacent downstream 5-prime-monophosphoryl sites and tRNA-overlapping sites removed	author legend states 1-based; BED start=position-1
BTED_BATTER_S1_009_GSE139939_MULTI_CONDITION_TERMSEQ_CP023715-1_plus_19083_r000027	TERM_0026	BATTER_S1_009_VERA2020_TERMSEQ_CP023715_1_F_000026	TERM_0026	BATTER_S1_009	Zymomonas mobilis subsp. mobilis ZM4	GSE139939_MULTI_CONDITION_TERMSEQ	Term-seq + TSS-seq processing-site exclusion	author_called_termseq_tts_processing_filtered	ZM4	CP023715.1	19083	19082	19083	+	0	0	0	0	1	1	2		a1	32694125	10.1128/mSystems.00250-20	Data Set S3: TTS_list	candidate 3-prime ends with adjacent downstream 5-prime-monophosphoryl sites and tRNA-overlapping sites removed	author legend states 1-based; BED start=position-1
BTED_BATTER_S1_009_GSE139939_MULTI_CONDITION_TERMSEQ_CP023715-1_plus_20519_r000028	TERM_0027	BATTER_S1_009_VERA2020_TERMSEQ_CP023715_1_F_000027	TERM_0027	BATTER_S1_009	Zymomonas mobilis subsp. mobilis ZM4	GSE139939_MULTI_CONDITION_TERMSEQ	Term-seq + TSS-seq processing-site exclusion	author_called_termseq_tts_processing_filtered	ZM4	CP023715.1	20519	20518	20519	+	0	0	1	0	0	0	1		a1	32694125	10.1128/mSystems.00250-20	Data Set S3: TTS_list	candidate 3-prime ends with adjacent downstream 5-prime-monophosphoryl sites and tRNA-overlapping sites removed	author legend states 1-based; BED start=position-1
BTED_BATTER_S1_009_GSE139939_MULTI_CONDITION_TERMSEQ_CP023715-1_plus_20520_r000029	TERM_0028	BATTER_S1_009_VERA2020_TERMSEQ_CP023715_1_F_000028	TERM_0028	BATTER_S1_009	Zymomonas mobilis subsp. mobilis ZM4	GSE139939_MULTI_CONDITION_TERMSEQ	Term-seq + TSS-seq processing-site exclusion	author_called_termseq_tts_processing_filtered	ZM4	CP023715.1	20520	20519	20520	+	1	0	1	0	1	1	4		a1	32694125	10.1128/mSystems.00250-20	Data Set S3: TTS_list	candidate 3-prime ends with adjacent downstream 5-prime-monophosphoryl sites and tRNA-overlapping sites removed	author legend states 1-based; BED start=position-1
BTED_BATTER_S1_009_GSE139939_MULTI_CONDITION_TERMSEQ_CP023715-1_minus_38560_r000030	TERM_0029	BATTER_S1_009_VERA2020_TERMSEQ_CP023715_1_R_000029	TERM_0029	BATTER_S1_009	Zymomonas mobilis subsp. mobilis ZM4	GSE139939_MULTI_CONDITION_TERMSEQ	Term-seq + TSS-seq processing-site exclusion	author_called_termseq_tts_processing_filtered	ZM4	CP023715.1	38560	38559	38560	-	0	0	0	0	1	0	1		d2	32694125	10.1128/mSystems.00250-20	Data Set S3: TTS_list	candidate 3-prime ends with adjacent downstream 5-prime-monophosphoryl sites and tRNA-overlapping sites removed	author legend states 1-based; BED start=position-1
BTED_BATTER_S1_009_GSE139939_MULTI_CONDITION_TERMSEQ_CP023715-1_minus_38561_r000031	TERM_0030	BATTER_S1_009_VERA2020_TERMSEQ_CP023715_1_R_000030	TERM_0030	BATTER_S1_009	Zymomonas mobilis subsp. mobilis ZM4	GSE139939_MULTI_CONDITION_TERMSEQ	Term-seq + TSS-seq processing-site exclusion	author_called_termseq_tts_processing_filtered	ZM4	CP023715.1	38561	38560	38561	-	0	0	0	0	1	0	1		d2	32694125	10.1128/mSystems.00250-20	Data Set S3: TTS_list	candidate 3-prime ends with adjacent downstream 5-prime-monophosphoryl sites and tRNA-overlapping sites removed	author legend states 1-based; BED start=position-1
BTED_BATTER_S1_009_GSE139939_MULTI_CONDITION_TERMSEQ_CP023715-1_minus_38562_r000032	TERM_0031	BATTER_S1_009_VERA2020_TERMSEQ_CP023715_1_R_000031	TERM_0031	BATTER_S1_009	Zymomonas mobilis subsp. mobilis ZM4	GSE139939_MULTI_CONDITION_TERMSEQ	Term-seq + TSS-seq processing-site exclusion	author_called_termseq_tts_processing_filtered	ZM4	CP023715.1	38562	38561	38562	-	0	0	0	0	0	1	1		d2	32694125	10.1128/mSystems.00250-20	Data Set S3: TTS_list	candidate 3-prime ends with adjacent downstream 5-prime-monophosphoryl sites and tRNA-overlapping sites removed	author legend states 1-based; BED start=position-1
BTED_BATTER_S1_009_GSE139939_MULTI_CONDITION_TERMSEQ_CP023715-1_minus_39379_r000033	TERM_0032	BATTER_S1_009_VERA2020_TERMSEQ_CP023715_1_R_000032	TERM_0032	BATTER_S1_009	Zymomonas mobilis subsp. mobilis ZM4	GSE139939_MULTI_CONDITION_TERMSEQ	Term-seq + TSS-seq processing-site exclusion	author_called_termseq_tts_processing_filtered	ZM4	CP023715.1	39379	39378	39379	-	0	1	0	0	0	0	1		d1	32694125	10.1128/mSystems.00250-20	Data Set S3: TTS_list	candidate 3-prime ends with adjacent downstream 5-prime-monophosphoryl sites and tRNA-overlapping sites removed	author legend states 1-based; BED start=position-1
BTED_BATTER_S1_009_GSE139939_MULTI_CONDITION_TERMSEQ_CP023715-1_minus_39462_r000034	TERM_0033	BATTER_S1_009_VERA2020_TERMSEQ_CP023715_1_R_000033	TERM_0033	BATTER_S1_009	Zymomonas mobilis subsp. mobilis ZM4	GSE139939_MULTI_CONDITION_TERMSEQ	Term-seq + TSS-seq processing-site exclusion	author_called_termseq_tts_processing_filtered	ZM4	CP023715.1	39462	39461	39462	-	0	1	0	1	0	1	3	PreTerm_31	a1	32694125	10.1128/mSystems.00250-20	Data Set S3: TTS_list	candidate 3-prime ends with adjacent downstream 5-prime-monophosphoryl sites and tRNA-overlapping sites removed	author legend states 1-based; BED start=position-1
BTED_BATTER_S1_009_GSE139939_MULTI_CONDITION_TERMSEQ_CP023715-1_minus_39464_r000035	TERM_0034	BATTER_S1_009_VERA2020_TERMSEQ_CP023715_1_R_000034	TERM_0034	BATTER_S1_009	Zymomonas mobilis subsp. mobilis ZM4	GSE139939_MULTI_CONDITION_TERMSEQ	Term-seq + TSS-seq processing-site exclusion	author_called_termseq_tts_processing_filtered	ZM4	CP023715.1	39464	39463	39464	-	0	1	0	0	0	0	1	PreTerm_31	a1	32694125	10.1128/mSystems.00250-20	Data Set S3: TTS_list	candidate 3-prime ends with adjacent downstream 5-prime-monophosphoryl sites and tRNA-overlapping sites removed	author legend states 1-based; BED start=position-1
BTED_BATTER_S1_009_GSE139939_MULTI_CONDITION_TERMSEQ_CP023715-1_minus_39533_r000036	TERM_0035	BATTER_S1_009_VERA2020_TERMSEQ_CP023715_1_R_000035	TERM_0035	BATTER_S1_009	Zymomonas mobilis subsp. mobilis ZM4	GSE139939_MULTI_CONDITION_TERMSEQ	Term-seq + TSS-seq processing-site exclusion	author_called_termseq_tts_processing_filtered	ZM4	CP023715.1	39533	39532	39533	-	0	0	0	1	1	1	3	PreTerm_32r	a1	32694125	10.1128/mSystems.00250-20	Data Set S3: TTS_list	candidate 3-prime ends with adjacent downstream 5-prime-monophosphoryl sites and tRNA-overlapping sites removed	author legend states 1-based; BED start=position-1
BTED_BATTER_S1_009_GSE139939_MULTI_CONDITION_TERMSEQ_CP023715-1_minus_39534_r000037	TERM_0036	BATTER_S1_009_VERA2020_TERMSEQ_CP023715_1_R_000036	TERM_0036	BATTER_S1_009	Zymomonas mobilis subsp. mobilis ZM4	GSE139939_MULTI_CONDITION_TERMSEQ	Term-seq + TSS-seq processing-site exclusion	author_called_termseq_tts_processing_filtered	ZM4	CP023715.1	39534	39533	39534	-	0	1	0	1	0	1	3	PreTerm_32r	a1	32694125	10.1128/mSystems.00250-20	Data Set S3: TTS_list	candidate 3-prime ends with adjacent downstream 5-prime-monophosphoryl sites and tRNA-overlapping sites removed	author legend states 1-based; BED start=position-1
BTED_BATTER_S1_009_GSE139939_MULTI_CONDITION_TERMSEQ_CP023715-1_minus_39535_r000038	TERM_0037	BATTER_S1_009_VERA2020_TERMSEQ_CP023715_1_R_000037	TERM_0037	BATTER_S1_009	Zymomonas mobilis subsp. mobilis ZM4	GSE139939_MULTI_CONDITION_TERMSEQ	Term-seq + TSS-seq processing-site exclusion	author_called_termseq_tts_processing_filtered	ZM4	CP023715.1	39535	39534	39535	-	0	1	0	0	0	1	2	PreTerm_32r	a1	32694125	10.1128/mSystems.00250-20	Data Set S3: TTS_list	candidate 3-prime ends with adjacent downstream 5-prime-monophosphoryl sites and tRNA-overlapping sites removed	author legend states 1-based; BED start=position-1
BTED_BATTER_S1_009_GSE139939_MULTI_CONDITION_TERMSEQ_CP023715-1_minus_39536_r000039	TERM_0038	BATTER_S1_009_VERA2020_TERMSEQ_CP023715_1_R_000038	TERM_0038	BATTER_S1_009	Zymomonas mobilis subsp. mobilis ZM4	GSE139939_MULTI_CONDITION_TERMSEQ	Term-seq + TSS-seq processing-site exclusion	author_called_termseq_tts_processing_filtered	ZM4	CP023715.1	39536	39535	39536	-	0	1	0	0	0	0	1	PreTerm_32r	a1	32694125	10.1128/mSystems.00250-20	Data Set S3: TTS_list	candidate 3-prime ends with adjacent downstream 5-prime-monophosphoryl sites and tRNA-overlapping sites removed	author legend states 1-based; BED start=position-1
BTED_BATTER_S1_009_GSE139939_MULTI_CONDITION_TERMSEQ_CP023715-1_minus_39537_r000040	TERM_0039	BATTER_S1_009_VERA2020_TERMSEQ_CP023715_1_R_000039	TERM_0039	BATTER_S1_009	Zymomonas mobilis subsp. mobilis ZM4	GSE139939_MULTI_CONDITION_TERMSEQ	Term-seq + TSS-seq processing-site exclusion	author_called_termseq_tts_processing_filtered	ZM4	CP023715.1	39537	39536	39537	-	0	1	0	0	0	1	2	PreTerm_32r	a1	32694125	10.1128/mSystems.00250-20	Data Set S3: TTS_list	candidate 3-prime ends with adjacent downstream 5-prime-monophosphoryl sites and tRNA-overlapping sites removed	author legend states 1-based; BED start=position-1
